trial_number,rdc_replay_buffer_capacity,rdc_replay_buffer_alpha,rdc_replay_buffer_beta_start,rdc_replay_buffer_beta_frames,rdc_tau,rdc_batch_size,rdc_hidden_dim,rdc_lr,rdc_lr_step_size,rdc_lr_gamma,rdc_gamma,rdc_epsilon_end,rdc_epsilon_decay,rdc_reward_weight_demand,rdc_reward_weight_rebalancing,rdc_reward_weight_gini,value
62,10000,0.8,0.3,75000,0.008,512,128,8.643936494545543e-06,1500,0.9,0.99,0.045,0.9998,1.3,1.05,0.05,98.19813299944062
63,10000,0.8,0.3,75000,0.008,512,128,9.972934492532966e-06,1500,0.9500000000000001,0.99,0.045,0.9998,1.3,1.15,0.060000000000000005,97.77582515642625
64,5000,0.7,0.3,75000,0.008,512,128,8.877324598326323e-06,1500,0.9500000000000001,0.99,0.05,0.9999,1.3,1.05,0.060000000000000005,97.61514778842867
65,10000,0.8,0.3,75000,0.008,512,128,8.766322297385027e-06,1500,1.0,0.99,0.05,0.9999,1.3,1.2,0.05,97.94338279139916
66,10000,0.8,0.3,75000,0.008,512,128,8.485632660181082e-06,1500,0.9500000000000001,0.99,0.05,0.9999,1.6,1.2,0.05,98.07724350988505
67,10000,0.8,0.3,75000,0.008,512,128,8.89149642758375e-06,1500,0.9,0.99,0.05,0.9999,1.25,1.05,0.05,97.65821317170183
68,5000,0.8,0.3,75000,0.008,512,128,9.109658815086573e-06,1500,0.9,0.98,0.05,0.9999,1.25,1.05,0.05,98.03593773897643
69,10000,0.75,0.3,75000,0.008,512,128,9.01010550042284e-06,1500,0.9,0.98,0.05,0.9984,1.25,1.05,0.05,97.6826927624504
70,10000,0.75,0.35,75000,0.008,512,256,6.780066757247462e-06,1500,0.9,0.98,0.045,0.9984999999999999,1.25,1.05,0.05,97.64816253574796
71,10000,0.75,0.25,75000,0.007,512,256,6.548854563305483e-06,1500,0.9,0.98,0.05,0.9994999999999999,1.25,1.05,0.05,98.00498095034526
72,10000,0.75,0.25,75000,0.007,512,256,6.675186691407511e-06,1500,0.9,0.98,0.05,0.9984,1.25,1.05,0.05,97.99372670762625
73,5000,0.75,0.3,75000,0.007,512,256,6.536650953850635e-06,1500,0.9,0.98,0.05,0.9982,1.2,1.05,0.09,94.07097893078266
74,5000,0.75,0.35,75000,0.007,512,256,6.479959105310416e-06,1500,0.9500000000000001,0.98,0.05,0.9994999999999999,1.2,1.05,0.09,96.84787180845532
75,5000,0.8,0.25,75000,0.007,512,128,7.84469132470667e-06,1500,0.9,0.98,0.05,0.9999,1.2,1.05,0.05,97.6629073491292
76,5000,0.8,0.25,75000,0.007,512,256,7.9702478914883e-06,1500,0.9,0.98,0.05,0.9994999999999999,1.2,1.05,0.05,97.2959577420329
77,5000,0.8,0.3,75000,0.007,512,256,7.902624010538664e-06,1500,0.9,0.98,0.05,0.9994999999999999,1.2,1.1,0.05,94.89007641850667
78,5000,0.8,0.35,50000,0.007,512,256,7.858523499374793e-06,1500,0.9,0.98,0.05,0.9994999999999999,1.2,1.1,0.05,96.27334342838536
79,5000,0.8,0.3,50000,0.006,512,256,7.819956977492084e-06,1500,0.9,0.99,0.05,0.9996,1.2,1.1,0.05,97.71159253631832
80,5000,0.8,0.3,50000,0.006,512,256,9.458763606577995e-06,1500,0.9,0.99,0.045,0.9996,1.25,1.1,0.05,97.45179949026502
