trial_number,rdc_epsilon_end,rdc_epsilon_decay,value
0,0.17,0.9949966575648949,77.12184242446791
3,0.06999999999999999,0.9778237824525775,76.34933325601084
2,0.14,0.9811195771264596,77.7768823131305
4,0.02,0.9714785546424004,78.90472299647851
1,0.06999999999999999,0.9559462616146874,76.42003070046158
5,0.2,0.9937967040851864,76.93862758593778
6,0.02,0.9601410434022841,77.50398344384746
7,0.04,0.952242667270553,74.35192363890695
8,0.04,0.9510937673035517,73.42553001678166
9,0.04,0.9751767749505726,77.207349662535
10,0.13,0.9846746189721711,77.5977964031247
11,0.16,0.9676398672235114,77.16048553398777
12,0.04,0.9630746766369644,76.7932549126854
13,0.09999999999999999,0.9770401728922351,78.77657303092688
14,0.11,0.9663467415167253,75.09846638374938
15,0.13,0.9654315146731322,78.01359718255121
16,0.11,0.9841195763332836,78.66767061409858
17,0.11,0.9828288887392773,78.37277362802602
18,0.09,0.9690236027917191,78.64848754085308
19,0.08,0.987476592054055,78.07932600314578
20,0.08,0.9853705626549575,78.40029954670474
21,0.08,0.972047126913291,77.6231854873615
22,0.08,0.9709706025634656,75.32096625203776
23,0.06999999999999999,0.9722786254340087,78.57545668107686
24,0.01,0.971752203442869,76.04396982237226
25,0.01,0.9712325886235794,72.78955754739064
26,0.01,0.9772094000612059,76.07114363238279
27,0.02,0.9899843604765283,77.4345669669458
28,0.01,0.9778000531449801,78.06945763205745
29,0.09999999999999999,0.9909047065805402,78.09293068806996
30,0.09999999999999999,0.9899951084279588,77.02956853426733
31,0.09999999999999999,0.9905752682959298,77.15126338962486
32,0.09999999999999999,0.9789750580089805,78.43505479995318
33,0.18000000000000002,0.994411788822862,77.16524991010495
34,0.18000000000000002,0.9994732642642431,77.72365314973051
35,0.15000000000000002,0.9817650200279464,77.86925705590698
36,0.15000000000000002,0.9811902324169032,74.20500596831872
37,0.14,0.9973191919767344,78.21927660932674
38,0.15000000000000002,0.9615351775114972,77.27496186931876
39,0.15000000000000002,0.9592704917251987,76.16222979229278
40,0.12,0.9577670683443719,77.13842319838537
41,0.12,0.9617949911715192,78.30750258690313
42,0.060000000000000005,0.9579899315761053,77.55660877649719
43,0.060000000000000005,0.9749671158327667,73.7171088106033
44,0.060000000000000005,0.9748045010831496,77.80630385094568
45,0.05,0.9751729634073533,77.53132142868661
46,0.060000000000000005,0.9745437542766584,77.99934091898693
47,0.060000000000000005,0.9687180191360694,77.42722021893013
48,0.09,0.9683360205199767,77.561492893903
49,0.09,0.9692825570739821,78.84212289900577
