trial_number,rdc_lr,rdc_lr_step_size,rdc_lr_gamma,rdc_gamma,value
3,3.891487438269704e-06,3500,0.9099999999999999,0.92,71.82432971536058
2,7.7308924509015e-06,3250,0.6799999999999999,0.9600000000000001,78.59474562294551
0,6.009381319212597e-06,4750,0.95,0.93,77.60355288994312
1,2.453198654175329e-06,4500,0.79,0.99,78.83325166709933
4,2.235439788557624e-06,1500,0.71,0.98,78.85231335566904
5,3.2617976587022462e-06,5500,0.79,0.98,78.20218803472957
6,3.455443956197985e-06,3250,0.84,0.93,78.39584186368657
7,1.5272266288120526e-06,1750,0.6,0.99,75.72075242660911
8,3.420278691244913e-06,4500,0.69,0.9500000000000001,76.7828678434769
9,1.5086907042758697e-06,2250,0.88,0.99,77.51913755490864
10,4.578607982243378e-06,4250,0.8999999999999999,0.99,76.90940955754635
11,2.0838310889895233e-06,4500,0.84,0.98,77.91657322716382
12,1.2034853648196353e-06,1750,0.62,0.93,77.97104680460117
13,8.369529767556899e-06,2250,0.6799999999999999,0.9700000000000001,78.24163899153291
14,1.0464516847945134e-06,1000,0.72,0.9700000000000001,77.70799083841362
15,1.9790388015421727e-06,1000,0.73,0.9700000000000001,78.83195485401583
16,2.171995396915558e-06,1000,0.75,0.9700000000000001,77.25973581137801
17,2.3570391793042064e-06,1000,0.75,0.9700000000000001,78.32445620067804
18,2.268135795625667e-06,1250,0.75,0.9700000000000001,78.9781263072926
19,2.2485451049895923e-06,5500,0.78,0.9500000000000001,78.7150775834191
20,2.5029704356142005e-06,5500,0.76,0.9500000000000001,78.08077669316941
21,2.710347198360349e-06,5500,0.79,0.9500000000000001,77.92655647499356
22,2.4710754652722264e-06,3750,0.8,0.9500000000000001,78.51897680451424
23,1.6269778496664134e-06,2500,0.63,0.9500000000000001,77.28959664497076
24,1.5443986886804066e-06,2500,0.63,0.9600000000000001,78.44665496941107
25,1.6293328066263612e-06,2500,0.82,0.98,77.74004938108999
26,1.6674524152929989e-06,2500,0.83,0.98,78.1786503090081
27,1.6609806040399143e-06,2500,0.64,0.98,75.47328729636315
28,1.8139099716248932e-06,1500,0.82,0.98,72.72522419714727
29,1.815300231114177e-06,1750,0.71,0.98,77.09719661735488
30,4.4578129759353896e-06,1500,0.71,0.98,73.69646852556664
31,4.403931041351216e-06,1750,0.7,0.99,78.16531482778022
32,4.192817183484943e-06,1750,0.69,0.99,78.32968599917486
33,5.56091175134371e-06,1500,0.7,0.99,78.27369906366604
34,5.158799779333705e-06,5000,0.97,0.99,75.23550613036254
35,2.9125839373336013e-06,1250,0.73,0.99,77.75085787186883
36,2.835618613558779e-06,1250,0.74,0.9600000000000001,78.33089316126905
37,2.887771643693215e-06,1250,0.98,0.9600000000000001,74.12597234276717
38,2.862061467644914e-06,1000,0.73,0.9600000000000001,71.41048704488274
39,2.739388341737523e-06,3000,0.73,0.9600000000000001,77.96579294704716
40,1.303379375326028e-06,3750,0.65,0.9600000000000001,77.45776388490995
41,1.3346703842701362e-06,3000,0.6699999999999999,0.9600000000000001,75.19719970149467
42,6.785022417790865e-06,3000,0.6699999999999999,0.9700000000000001,77.95803277358212
43,1.3301161092099003e-06,3250,0.6599999999999999,0.9700000000000001,74.61822839495355
44,6.787413292725723e-06,4000,0.6599999999999999,0.9700000000000001,75.57955488979562
45,2.026686715405233e-06,5250,0.77,0.9400000000000001,77.86703726088136
46,2.039009951339837e-06,5000,0.77,0.9400000000000001,77.6528015916141
47,2.037435649203597e-06,5250,0.77,0.9400000000000001,77.83789263737442
48,2.0372436921626035e-06,5000,0.78,0.9400000000000001,70.5530611008268
49,1.974688018882785e-06,5000,0.77,0.93,76.85244065136881
