trial_number,rdc_replay_buffer_capacity,rdc_replay_buffer_alpha,rdc_replay_buffer_beta_start,rdc_replay_buffer_beta_frames,rdc_tau,value
2,12500,0.8,0.2,150000,0.01,95.32664857932448
3,15000,0.7,0.4,175000,0.006,95.38856362458971
1,5000,0.6,0.25,75000,0.008,96.94134366601865
4,12500,0.85,0.25,75000,0.008,95.69269939299335
0,15000,0.7,0.25,175000,0.008,94.96920574472124
5,7500,0.65,0.4,175000,0.009000000000000001,96.80914904755338
6,15000,0.85,0.35000000000000003,200000,0.009000000000000001,96.60340260102603
7,7500,0.8,0.30000000000000004,100000,0.008,94.74305814814677
8,7500,0.6,0.5,125000,0.007,96.77122742876338
9,15000,0.7,0.30000000000000004,150000,0.008,95.37167633357032
10,7500,0.7,0.4,100000,0.009000000000000001,96.11253853754539
11,12500,0.65,0.25,125000,0.007,96.22163778882828
12,15000,0.8,0.2,175000,0.009000000000000001,94.68524441150441
13,7500,0.9,0.45,100000,0.008,96.50166414476068
14,5000,0.6,0.2,50000,0.005,95.66012401105093
15,5000,0.6,0.5,50000,0.005,96.67052629193836
16,5000,0.6,0.5,50000,0.005,97.52000816810578
17,5000,0.6,0.5,50000,0.005,96.15671308409146
18,5000,0.6,0.35000000000000003,50000,0.01,96.02717323259455
19,5000,0.65,0.35000000000000003,50000,0.01,97.08139036576016
