trial_number,rdc_epsilon_end,rdc_epsilon_decay,value
2,0.04,0.9999,97.09926299489995
4,0.075,0.999,96.85709709520793
0,0.06,0.9986,97.01843182939965
3,0.08,0.9986,96.41210543134267
1,0.075,0.999,96.39163352873308
5,0.07,0.9981,96.63867022561269
6,0.04,0.9988,97.03699670295136
7,0.075,0.9984,97.10435064649747
8,0.07,0.9999,95.86646066424618
9,0.05,0.9994,96.67513788938359
10,0.05,0.998,95.88064549999521
11,0.065,0.9988,96.74943855806706
12,0.07,0.9989,96.77496032121927
13,0.034999999999999996,0.9986,96.02906603258151
14,0.06,0.998,96.70031719576676
15,0.03,0.9998,97.09392850440562
16,0.03,0.9999,97.14295844154888
17,0.03,0.9999,96.2740168621406
18,0.03,0.9999,96.45849137057586
19,0.03,0.9997,95.77845567266577
20,0.045,0.9994999999999999,96.71669015515708
21,0.05,0.9994999999999999,96.2349311382413
22,0.05,0.9994,93.44371910676342
23,0.05,0.9983,96.72371962716669
24,0.05,0.9993,97.25677949317075
25,0.04,0.9994999999999999,96.45454603908617
26,0.04,0.9983,95.93986496443253
27,0.04,0.9983,97.58201458861882
28,0.04,0.9992,96.47863111844231
29,0.06,0.9993,96.98057863231446
