trial_number,rdc_reward_weight_demand,rdc_reward_weight_rebalancing,rdc_reward_weight_gini,value
0,1.1,1.1,0.1,97.98300101930695
3,1.5,1.5,0.15000000000000002,97.59778290857251
1,1.2000000000000002,0.6,0.45000000000000007,90.89517701478941
4,1.2000000000000002,1.0,0.15000000000000002,96.00132839803436
2,1.4,0.6,0.4,93.64904193932533
5,1.5,0.7,0.4,92.43603592267337
7,0.6,1.5,0.45000000000000007,92.27105112136601
6,1.5,1.2000000000000002,0.1,97.64243685748629
8,1.5,1.3,0.45000000000000007,93.38280107900931
9,0.5,1.2000000000000002,0.1,96.97438801020692
10,0.7,1.5,0.2,96.6997472143471
11,1.2000000000000002,1.1,0.1,96.82068294518936
12,0.8,1.1,0.15000000000000002,95.47268400966513
13,0.6,1.4,0.30000000000000004,93.54351809475249
14,0.8,0.9,0.25,94.64963269820856
15,0.9,1.0,0.25,94.51903658908115
16,0.9,0.9,0.25,94.0674823828482
17,1.0,0.9,0.25,93.1929245214127
18,1.0,0.9,0.25,95.03291750527765
19,1.0,0.8,0.30000000000000004,95.68662266932165
