trial_number,rdc_lr,rdc_lr_step_size,rdc_lr_gamma,rdc_gamma,value
0,0.00012565517162378706,2500,0.93,0.98,94.87116506725508
1,1.6585903833321704e-06,1500,0.98,0.9500000000000001,97.26001283599564
2,1.591506112976565e-05,500,0.93,0.98,91.57633210450061
3,1.7459810372362883e-05,500,0.98,0.9,95.52827521312787
4,0.00021875125565540767,500,0.96,0.91,90.88961948142864
5,0.0008145673385111763,1000,0.9500000000000001,0.92,93.30228952371726
6,1.633969190658804e-05,1000,0.92,0.9,95.17985452674834
7,0.00014579151436877312,500,0.9500000000000001,0.96,96.45420549389783
8,1.5819179266707576e-06,1000,0.96,0.9400000000000001,93.98476185402512
9,1.015365535581123e-06,2000,0.93,0.91,91.12949369096478
10,1.0852941876478794e-05,2000,0.97,0.99,98.16647370019453
11,4.693131873316041e-06,1000,0.91,0.9,96.21872097389495
12,1.3018489251954546e-06,2000,0.99,0.93,95.96877265747463
13,0.0006917540274616837,500,0.99,0.91,94.8547514592521
14,3.836520131188692e-06,3000,0.99,0.9500000000000001,97.03653566071145
15,4.0620535965169496e-06,2000,0.99,0.9500000000000001,96.68825107079648
16,3.952431422265309e-06,2000,0.99,0.96,97.56107980445326
17,5.5727557996327985e-06,3000,0.98,0.96,94.84661631334878
18,4.603676230436987e-06,3000,0.97,0.96,98.25643534613607
19,4.8853834493940315e-06,1500,0.97,0.97,95.61200914497681
20,3.9717831564747345e-05,1500,0.97,0.97,95.83845817758979
21,4.404581906199381e-05,2500,0.97,0.99,97.4724097004055
22,4.708883135721567e-05,2500,0.97,0.99,97.73408521346089
23,5.327855345694345e-05,2500,0.97,0.99,96.24121159124687
24,4.815980381105631e-05,2500,0.96,0.99,98.02218208819632
25,9.262955137413648e-06,2500,0.97,0.99,98.12990720313148
26,1.0331160632804863e-05,2500,0.96,0.99,96.7849479983338
27,9.275191347554238e-06,2500,0.96,0.99,94.89423185932486
28,9.696508009203694e-06,3000,0.96,0.98,96.92538064806926
29,1.0474298149142383e-05,3000,0.96,0.98,98.30794050480327
30,9.68073031877496e-06,3000,0.9400000000000001,0.98,98.23023143008275
31,8.527143215282142e-06,3000,0.9400000000000001,0.98,97.0352347297194
32,2.151773721829526e-06,3000,0.9500000000000001,0.98,96.12480355186258
33,2.128637579471956e-06,3000,0.9400000000000001,0.97,97.71368363330785
34,2.3655256071124346e-06,3000,0.9400000000000001,0.97,98.51578093840777
35,2.4068178595216077e-05,3000,0.9400000000000001,0.97,95.9349237738328
36,2.350620964573364e-05,3000,0.9400000000000001,0.97,96.54829708835798
37,2.4804170415356067e-05,3000,0.9400000000000001,0.97,97.43189215162394
38,2.4336197048632005e-05,3000,0.9400000000000001,0.97,97.51757342485082
39,2.2374459028525026e-05,3000,0.9400000000000001,0.97,96.34559408116654
40,2.4221318572392236e-06,3000,0.93,0.96,98.3482625544784
41,2.450962661883106e-06,3000,0.93,0.96,97.54343741010196
42,2.425236592811632e-06,3000,0.92,0.96,96.82240414868096
43,2.959810221022373e-06,2500,0.93,0.96,95.23356228506273
44,6.285677946812136e-06,2500,0.92,0.96,98.0334508700133
45,2.4127470691494316e-06,3000,0.92,0.96,94.17655040047268
46,3.030544226523799e-06,3000,0.92,0.9400000000000001,96.03989749496877
47,6.6392151993403985e-06,2500,0.92,0.9400000000000001,97.76059946729028
48,6.677917723190635e-06,2500,0.92,0.9400000000000001,97.61212703405681
49,1.4593374206448806e-05,3000,0.9500000000000001,0.9400000000000001,97.05491819208447
