trial_number,learning_rate,n_steps,batch_size,clip_range,ent_coef,vf_coef,hidden_size,activation,gamma,gae_lambda,use_target_kl,value
0,4.7112696944301376e-05,512,64,0.29,6.830262218629554e-05,0.73,128,LeakyReLU,0.9632045900424032,0.94,0.02,162.2757198
2,4.8537318187073565e-05,256,64,0.28,0.00013865558032991187,0.6900000000000001,256,LeakyReLU,0.9568856909608121,0.97,0.02,162.317995
1,3.00195737663824e-05,512,64,0.29,3.2096113283216255e-05,0.68,256,ReLU,0.9545489991845159,0.96,0.02,162.6449354
3,2.1315464731811693e-05,256,64,0.27,6.607464124702921e-05,0.6900000000000001,256,LeakyReLU,0.9780839368283141,0.94,0.02,162.758408
5,4.250328551754768e-05,256,32,0.27,0.00013335981327066275,0.71,256,ReLU,0.9617847678168985,0.94,0.02,163.5447576
4,2.0456028173662515e-05,256,32,0.3,0.00010417702354072227,0.65,128,LeakyReLU,0.9632336434425808,0.97,0.02,161.91438440000002
7,2.4676620882704542e-05,512,32,0.26,0.00014354956152893655,0.75,256,LeakyReLU,0.9626951172608346,0.95,0.02,163.32330919999998
6,3.313735549633013e-05,256,32,0.27,0.0001294815156119007,0.75,128,LeakyReLU,0.9613789930374912,0.97,0.02,162.2806754
8,2.8330486920563316e-05,512,32,0.26,3.642207974807544e-05,0.75,128,LeakyReLU,0.9512547350368774,0.95,0.02,162.35025019999998
9,4.6722367488509374e-05,256,64,0.26,2.2348483575128346e-05,0.67,256,LeakyReLU,0.9555533064317666,0.94,0.02,161.6067114
10,4.879053850758109e-05,256,64,0.29,0.00011323532116566045,0.65,128,LeakyReLU,0.972543441948403,0.97,0.02,162.4792084
11,3.0746044665095346e-05,512,32,0.26,0.00011898435352856009,0.6900000000000001,256,ReLU,0.9754803850709097,0.96,0.02,162.52572260000002
12,3.0416176265361947e-05,256,64,0.26,2.0384126916064802e-05,0.75,128,ReLU,0.9749273879764782,0.94,0.02,162.9516994
13,5.974993010558058e-05,256,32,0.25,0.00019523948072929013,0.72,256,ReLU,0.9715495268197649,0.95,0.02,161.8639646
14,3.852693260850055e-05,512,32,0.25,0.00019535181622642517,0.72,256,ReLU,0.9671776658027913,0.95,0.02,162.954076
15,4.0024084217559184e-05,512,32,0.25,0.0001943115073193007,0.72,256,ReLU,0.9685761760312174,0.95,0.02,162.5837586
