trial_number,rdc_batch_size,rdc_hidden_dim,value
0,128,64,96.81451272523793
3,128,128,89.06841898450509
1,256,64,81.69165262222734
4,512,128,96.67139862010876
2,256,512,98.20949561342155
7,512,64,92.44145649069539
5,128,128,97.97382922083561
6,256,512,97.67004606013919
9,512,128,96.72334684290547
8,128,512,97.5865716732841
10,512,64,89.55388292664479
12,256,64,96.38039423511317
11,64,512,96.29740948328649
13,64,128,88.27322309633877
14,64,256,98.20676076730405
15,64,256,95.94822011610914
16,64,256,96.80857561090677
17,64,256,96.01307303730614
18,128,256,96.72397087368861
19,64,256,95.71243086996203
21,256,256,96.10431593787382
22,256,256,97.94996244511164
20,64,256,93.8587103008448
23,256,512,96.51517546483578
24,256,512,97.70309600917291
25,128,512,97.652363389159
26,128,512,97.64311639563556
27,128,512,96.771588541363
28,128,512,98.01760448557327
29,128,128,88.23854028313028
30,128,128,95.10416062160172
31,128,128,96.07606664956697
32,128,128,96.16722574198681
33,256,512,95.99600751398319
34,256,512,97.145903319731
36,128,512,97.05750775848793
35,128,512,96.59747790714133
37,256,512,97.51492993085816
38,128,512,96.94444922151841
39,128,512,96.87968117031839
41,512,64,79.36738908673922
40,128,64,94.8751081851173
42,512,64,91.9933133950838
43,512,64,74.39778446996874
44,512,64,97.74111040045992
45,256,256,97.93558013599922
46,256,256,97.932858787591
47,256,256,97.8937080575769
48,256,256,97.40649546171247
49,256,256,97.8439694297399
