trial_number,n_layers,hidden_size,activation,value
0,3,256,LeakyReLU,181.0667426
1,2,256,Tanh,181.5700976
2,3,128,LeakyReLU,180.88186060000004
3,2,64,LeakyReLU,181.55622160000001
4,3,64,LeakyReLU,181.17785759999998
5,2,128,ReLU,181.4898032
6,2,256,LeakyReLU,180.90587779999998
7,3,128,ReLU,181.6887226
8,2,256,ReLU,181.0974898
9,3,128,LeakyReLU,181.1733692
10,3,128,ReLU,180.8041224
11,2,256,Tanh,181.2805014
12,3,128,Tanh,181.5924254
13,3,128,Tanh,181.0401656
14,3,128,Tanh,181.0346308
15,3,128,ReLU,181.45198499999998
16,3,128,ReLU,181.3124922
17,3,64,Tanh,181.3486756
18,3,128,ReLU,181.42405620000002
19,3,128,Tanh,181.20345340000003
20,3,64,ReLU,181.6244596
21,3,64,ReLU,181.20208100000002
22,3,64,ReLU,180.98785519999998
23,3,64,ReLU,181.4749572
24,3,64,ReLU,180.93734639999997
25,3,128,Tanh,181.40645899999998
26,3,64,ReLU,181.2114092
27,3,128,Tanh,181.14786439999997
28,3,128,ReLU,181.7499418
29,3,64,ReLU,181.40550480000002
