trial_number,rdc_batch_size,rdc_hidden_dim,value
4,256,256,93.8603765601906
0,512,128,95.60853034618103
1,256,128,95.16780088448749
2,256,256,96.65786108532586
3,512,256,95.55578641346929
5,512,128,96.18946345309483
7,512,256,95.8361363019634
6,512,256,95.48389159813895
8,256,128,92.9371362842708
9,512,256,95.14786014797
11,512,128,95.44728148585881
10,256,128,95.41652031042223
12,256,256,96.2801078455703
13,256,256,96.24457894344565
14,256,256,95.2157381732085
15,256,128,96.26446496479056
16,256,256,95.61119022845858
17,256,256,96.15162254522825
18,256,256,96.22154195527813
19,256,256,96.56506345091671
