trial_number,gamma,gae_lambda,use_target_kl,value
0,0.916,0.9,0.02,181.1848276
1,0.892,0.87,0.005,180.9954208
2,0.934,0.9099999999999999,,181.0772976
3,0.889,0.9299999999999999,0.01,181.17590800000002
4,0.933,0.9299999999999999,,181.3211112
5,0.903,0.87,0.02,180.91413440000002
6,0.922,0.89,0.02,181.2462626
7,0.927,0.86,,181.1658898
8,0.919,0.9299999999999999,0.02,181.5306714
9,0.95,0.9,,180.9604188
10,0.905,0.95,0.005,181.1085582
11,0.9410000000000001,0.9299999999999999,0.01,181.032512
12,0.933,0.95,,181.4734072
13,0.912,0.95,0.02,181.25578419999997
14,0.944,0.94,,181.36057440000002
15,0.88,0.9199999999999999,0.02,181.2004022
16,0.927,0.95,0.01,181.02760519999998
17,0.918,0.94,0.005,181.05910699999998
18,0.907,0.9199999999999999,0.02,181.3202274
19,0.936,0.9199999999999999,,181.2756814
20,0.925,0.94,0.02,181.35652520000002
21,0.948,0.94,,181.3756146
22,0.948,0.94,,181.45996859999997
23,0.94,0.95,,181.2620672
24,0.935,0.9099999999999999,,181.6287264
25,0.934,0.89,,181.7050976
26,0.921,0.89,0.005,181.201314
27,0.929,0.89,0.01,181.3374094
28,0.911,0.9099999999999999,,181.00461639999997
29,0.918,0.88,0.02,181.159322
