trial_number,rdc_lr,rdc_lr_step_size,rdc_lr_gamma,rdc_gamma,value
2,0.0002695021638852549,1000,0.6799999999999999,0.988,75.8421823762582
1,5.456080492201993e-05,4250,0.77,0.9420000000000001,75.13134316241806
3,7.134340569374425e-06,1500,0.8200000000000001,0.923,74.08210112436976
4,1.8934170589012098e-06,1500,0.78,0.915,74.74233205980816
0,1.1614878497949378e-06,4250,0.86,0.915,76.5450102125358
5,4.773552195156028e-06,1750,0.59,0.9530000000000001,76.10156012945683
6,8.019405708860444e-05,1500,0.59,0.936,74.7198573674398
8,1.4627544692545464e-06,1000,0.88,0.934,74.77411935054123
7,1.1767318581749172e-06,3000,0.59,0.974,75.39691770879429
9,1.7112697969966642e-05,4000,0.86,0.929,74.5673533076237
10,3.4702709657455026e-06,4500,0.96,0.909,76.74730750220552
11,1.1040739976669487e-05,4250,0.87,0.996,76.47029909070378
12,9.271848933718212e-05,2750,0.8500000000000001,0.9570000000000001,76.14902249522733
13,2.8981927589873668e-05,3250,0.75,0.9580000000000001,74.11453022391665
14,4.767698699943243e-06,4750,0.98,0.902,75.40928455027777
15,4.062101307905503e-06,5000,0.98,0.903,74.52184494283435
16,2.854331381274358e-06,5000,0.99,0.9,71.25665218269984
17,3.024043213516152e-06,5000,0.99,0.903,72.8803573475303
18,3.2676604780455946e-06,5000,0.99,0.901,70.70065972128175
19,2.9121843522705803e-06,5000,0.99,0.904,70.90959399755681
20,1.9742692422027245e-06,3750,0.9199999999999999,0.915,75.95571276987638
21,1.019698570776219e-06,3500,0.9199999999999999,0.915,71.09197367450795
22,1.1999455528041824e-06,3750,0.9199999999999999,0.919,70.55023021345255
23,1.126032374253218e-06,3500,0.9199999999999999,0.915,77.13623786441788
24,1.200064670472979e-06,3500,0.91,0.918,73.4752333964115
25,1.3252273017277003e-05,4250,0.9199999999999999,0.998,76.82438194367847
27,8.486428465089227e-06,4250,0.71,0.993,70.67238673267929
26,9.392768244115526e-06,4250,0.9199999999999999,0.998,76.94840255881654
28,1.9926914804472546e-06,2500,0.67,0.924,70.44182912497025
29,1.9291491915900306e-06,2250,0.6799999999999999,0.9440000000000001,73.95776141074859
30,8.93022187432174e-06,2500,0.7,0.968,70.0458316076848
31,1.6813828848332887e-05,2500,0.52,0.968,75.86680774646472
32,2.5888674296301978e-05,2750,0.51,0.978,74.82174592753506
33,2.5831817268657975e-05,2250,0.8200000000000001,0.98,73.09175203429773
34,2.605273271934783e-05,4500,0.5,0.979,75.12547851237544
35,1.8978340233989345e-05,4500,0.95,0.985,76.11582256122045
36,2.8362272047036154e-05,4500,0.95,0.983,72.40759810407903
37,6.325866981998656e-06,4500,0.95,0.984,73.42986509369021
38,1.1054277329895764e-05,4500,0.94,0.988,75.25662672468897
39,1.2188820876686074e-05,4500,0.96,0.985,75.41977934708872
40,6.313455805421254e-06,4000,0.94,0.999,76.60604805224347
41,6.2951434262722405e-06,4000,0.8200000000000001,0.99,76.01261450729058
42,1.1384898092520136e-05,4000,0.8,0.909,73.89807983386532
43,6.075666633540899e-06,4000,0.81,0.998,73.00269564083293
44,5.625850358870855e-06,4000,0.89,0.999,71.81317888203986
45,7.058456933740013e-06,4000,0.89,0.997,76.29166713277979
46,5.694573252828812e-06,4000,0.89,0.999,74.91957841778813
47,4.329351776265529e-05,3750,0.89,0.995,73.00468896280402
48,0.00017224891084710128,3500,0.9,0.998,75.87392724020995
49,0.00029893638633444406,3500,0.9,0.993,72.63768276949689
