trial_number,rdc_batch_size,rdc_hidden_dim,value
0,128,256,91.01005364903702
3,128,256,92.41500348267961
4,512,256,94.4485988329045
2,128,256,87.9347675268088
1,128,128,94.29227891171226
5,512,256,84.67285226724495
8,512,512,88.99283566066552
6,128,512,88.90734679432026
7,512,256,93.18306624597649
9,256,512,86.75445545695194
10,256,512,94.17397770536903
11,256,256,92.1929224699928
12,256,256,86.80833308869805
13,256,256,88.1572693657118
14,256,128,92.45341476658066
15,512,128,92.55105434257601
16,512,128,85.83119491313572
17,512,128,95.44455743211492
19,512,128,88.9897551458054
18,512,128,92.55089395036649
20,128,128,82.97167751676176
22,512,128,87.85817772002298
21,128,128,81.99172748394746
23,512,128,80.65093008739413
24,512,128,93.15438695694768
25,512,128,85.54021136004208
26,128,128,83.88906593225906
27,512,128,87.13752314352897
28,512,128,93.81943022300047
29,128,128,88.49258430386786
30,128,128,84.68961940476794
31,128,128,91.42841390493933
32,128,512,88.7706515643097
33,128,256,85.76732893889692
34,128,256,94.2589974887432
35,256,512,93.61442056378912
36,256,512,84.26956744220968
37,256,512,88.59013468978043
38,256,512,86.79669469379508
39,128,256,82.37426556293897
40,128,256,87.39789754396898
41,128,256,89.15690577600331
42,128,256,85.04153135063247
43,128,256,89.54544602588736
44,128,256,90.05039993905449
45,128,256,94.81895323903636
46,512,256,85.77123521858584
47,512,256,92.92559259394588
48,512,256,87.62798257002018
49,512,512,86.28169688661663
