trial_number,reward_weight_demand,reward_weight_rebalancing,reward_weight_gini,value
0,1.2,1.0,0.15,203.2121888
1,0.8,1.9000000000000001,0.02,228.61433900000003
2,0.5,0.9000000000000001,0.12,217.67556999999996
3,0.4,1.1,0.12,225.4712314
4,0.7,0.4,0.09,194.81478300000003
5,1.8,1.5,0.38,200.3002394
6,1.8,0.7,0.04,190.89472560000002
7,1.1,1.6,0.48,207.87606799999998
8,1.2,1.4000000000000001,0.4,205.1603494
9,1.6,1.9000000000000001,0.08,213.138501
10,0.8,1.9000000000000001,0.25,222.1958738
11,0.2,1.2,0.01,242.47261899999998
12,0.2,0.2,0.0,211.0752814
13,0.2,2.0,0.22,238.46819640000004
14,0.2,1.3,0.22,231.3874238
15,0.5,0.7,0.19,208.32536899999997
16,0.2,1.7,0.3,232.6889144
17,1.0,1.3,0.3,208.5673432
18,0.4,1.7,0.29,227.4145348
19,1.5,0.5,0.38,181.5616776
20,0.7,2.0,0.17,227.5232368
21,0.30000000000000004,1.7,0.3,229.74377980000003
22,0.2,1.8,0.34,232.1912156
23,0.6000000000000001,1.2,0.45,209.7973704
24,0.4,2.0,0.23,232.45851539999998
25,0.2,1.5,0.35000000000000003,228.31974340000002
26,0.9000000000000001,1.7,0.27,217.22366240000002
27,0.5,1.5,0.2,225.3018416
28,0.30000000000000004,1.8,0.44,226.0690748
29,1.4000000000000001,0.9000000000000001,0.06,200.1395834
