trial_number,learning_rate,n_steps,batch_size,gamma,clip_range,ent_coef,vf_coef,use_target_kl,n_layers,hidden_size,activation,value
0,0.0004900638012610207,512,16,0.9490000000000001,0.3,0.0019849565339678573,0.30000000000000004,0.02,3,64,Tanh,233.102259
1,0.00017171610428649053,512,16,0.929,0.14,0.00010446547388460191,0.2,,3,128,LeakyReLU,233.1717274
2,2.942852497087578e-05,128,128,0.9610000000000001,0.2,0.050633991290056364,0.5,0.01,3,128,LeakyReLU,233.34129339999998
3,4.824384213820579e-05,512,64,0.911,0.25,0.0016039616452206773,0.1,0.02,2,64,LeakyReLU,232.6424328
4,0.00016925213587705052,64,64,0.994,0.17,0.0002442518528829947,0.6,,2,64,LeakyReLU,232.77501140000004
5,3.092777830477682e-05,64,64,0.98,0.27,0.0003257804716153323,0.8,0.02,3,64,LeakyReLU,233.1152954
6,6.87920548554315e-05,512,64,0.9510000000000001,0.3,0.006597740732566568,1.0,0.01,3,256,ReLU,232.6071806
7,8.700853188051477e-05,256,16,0.9430000000000001,0.15000000000000002,0.00010450159999907841,0.2,0.005,3,128,Tanh,233.10552280000002
8,4.10197002277123e-05,512,128,0.991,0.26,0.05066539450137558,0.2,,2,64,LeakyReLU,233.2201192
9,1.3485745575406932e-05,64,16,0.994,0.24000000000000002,0.00023400124347314907,0.7000000000000001,0.01,2,64,Tanh,232.69477500000002
10,1.0913105880015303e-05,128,128,0.9690000000000001,0.1,0.07966800146654485,0.4,0.01,3,128,ReLU,232.83846699999998
11,2.5670126763507043e-05,128,128,0.97,0.21000000000000002,0.07621154337415167,0.5,,2,256,LeakyReLU,232.70121360000002
12,2.564006140358512e-05,128,128,0.975,0.21000000000000002,0.019421138142437056,0.4,0.005,2,128,LeakyReLU,233.04480180000002
13,0.00016181041715112215,256,128,0.96,0.19,0.022068881235408924,0.1,,2,128,LeakyReLU,232.84120360000003
14,0.000903520836456895,128,32,0.999,0.24000000000000002,0.028210510845728242,0.9,0.01,3,256,LeakyReLU,233.04260160000004
15,4.354307478392126e-05,512,128,0.932,0.27,0.007730870144033834,0.6,,2,64,ReLU,232.7224412
16,1.6370871123396244e-05,128,32,0.982,0.19,0.05320965493468665,0.4,0.01,3,128,LeakyReLU,232.780821
17,6.100369598337825e-05,256,128,0.96,0.27,0.01010418842883097,0.30000000000000004,0.005,2,64,LeakyReLU,233.1779858
18,1.9832713646236855e-05,512,128,0.903,0.22,0.03672225814324308,0.5,,3,128,Tanh,233.47234880000002
19,1.5907542296664326e-05,128,128,0.901,0.23,0.004011010071671514,0.7000000000000001,0.01,3,128,Tanh,233.225607
20,2.2341937465300055e-05,512,32,0.92,0.17,0.017418744458016434,0.5,,3,128,Tanh,234.03129619999999
21,2.150859283506504e-05,512,32,0.917,0.15000000000000002,0.016152105188986306,0.5,,3,128,Tanh,233.3775092
22,1.7116694862601784e-05,512,32,0.917,0.13,0.013882056245194254,0.5,,3,128,Tanh,233.2692486
23,2.0761815126249938e-05,512,32,0.901,0.17,0.004704990954875544,0.7000000000000001,,3,128,Tanh,233.55475740000003
24,1.0201345304145982e-05,512,32,0.9,0.17,0.001414751658443245,0.7000000000000001,,3,128,Tanh,233.56419999999997
25,1.0003865240730525e-05,512,32,0.91,0.17,0.0008373049393192245,0.7000000000000001,,3,128,Tanh,233.4607534
26,1.0257973907367833e-05,512,32,0.927,0.17,0.003950904160998716,0.8,,3,128,Tanh,233.18221060000002
27,3.5053980625690186e-05,512,32,0.92,0.11,0.0008522574617015196,0.8,,3,256,Tanh,233.51666299999997
28,0.00012004372375183623,512,32,0.909,0.18,0.0017647001397390072,0.9,,3,128,Tanh,232.70936799999998
29,0.0003845548032551854,512,32,0.9380000000000001,0.12000000000000001,0.002283078367049865,0.6,0.02,3,128,Tanh,233.08304600000002
