trial_number,rdc_epsilon_end,rdc_epsilon_decay,value
2,0.060000000000000005,0.997,95.52050248757007
1,0.06999999999999999,0.997,93.77331416825416
3,0.09999999999999999,0.995,94.96478708714929
0,0.04,0.9984999999999999,95.69238786241367
4,0.01,0.997,94.22412783258089
5,0.05,0.9974999999999999,95.14871865994039
6,0.02,0.9994999999999999,94.67718695540563
7,0.08,0.9994999999999999,94.38472198173584
8,0.08,0.995,94.32774805079437
9,0.08,0.996,94.4804615119234
10,0.03,0.999,94.6805622354466
11,0.060000000000000005,0.999,96.14455655197011
12,0.06999999999999999,0.998,95.16536956105185
13,0.06999999999999999,0.9994999999999999,95.87830956848427
14,0.04,0.9984999999999999,92.61668517914757
15,0.04,0.998,93.87753754335805
16,0.04,0.9984999999999999,95.07047478504974
17,0.04,0.9984999999999999,95.30432017780477
18,0.09999999999999999,0.9984999999999999,94.55338943469907
19,0.09999999999999999,0.9994999999999999,94.24438933419238
