trial_number,learning_rate,n_steps,batch_size,clip_range,ent_coef,vf_coef,value
0,2.2207498291958415e-05,1024,64,0.1,8.949357576049461e-05,0.68,217.59598540000002
1,6.199012678622959e-06,1024,64,0.24,0.0018647756693691612,0.7,217.61893600000002
2,1.4142374239668981e-05,1024,64,0.22,0.00013708997421396106,0.5900000000000001,217.62610800000002
3,9.373031011724958e-06,512,64,0.12000000000000001,0.001094335230763721,0.6900000000000001,217.6758022
4,1.1041867949879906e-06,1024,64,0.24,2.254710965230675e-06,0.38,217.604562
5,1.3934448723792389e-05,512,64,0.18,0.003302641160909589,0.91,217.66253120000002
6,6.484547578414408e-06,512,32,0.19,3.809284547784601e-06,0.74,217.54409920000003
7,2.5113409435973103e-05,512,32,0.12000000000000001,0.0001290933961639581,1.11,217.49371219999998
8,1.4541804639014559e-05,512,32,0.17,1.10117262054113e-06,0.29000000000000004,217.5010846
9,2.403268653036228e-06,512,32,0.23,1.8983075157031546e-05,0.36000000000000004,217.84117940000002
10,2.278508105740824e-06,512,32,0.21000000000000002,1.3047591300390513e-05,0.48000000000000004,217.6366016
11,3.0165506574103046e-06,512,32,0.14,0.0005492184583059223,0.91,217.5691734
12,2.9941937425515773e-06,512,64,0.14,1.7130725137962982e-05,0.5,217.7850388
13,2.836142021633714e-06,512,32,0.15000000000000002,1.5732457499853347e-05,0.48000000000000004,217.672622
14,1.5328932271518947e-06,512,64,0.15000000000000002,1.949450122653158e-05,0.30000000000000004,217.66527000000002
15,3.6438630787681717e-06,512,32,0.2,3.182297500678608e-05,0.46,217.71602479999996
16,1.806744349123016e-06,512,64,0.16,4.634667450716634e-06,0.5700000000000001,217.66561280000002
17,4.025403519302599e-06,512,32,0.13,6.99939572187894e-06,0.43000000000000005,217.5617428
18,1.064017288422273e-06,1024,64,0.1,4.340239683853533e-05,0.5700000000000001,217.76846559999998
19,4.653721872656432e-06,512,32,0.23,0.000236977400171623,0.36000000000000004,217.6839058
20,1.8317370683673651e-06,512,32,0.18,5.494543685833982e-05,0.54,217.65426939999998
21,1.069142326390424e-06,1024,64,0.11,4.018769678421021e-05,0.6200000000000001,217.6772774
22,1.431850302219487e-06,1024,64,0.1,1.0961961300698473e-05,0.81,217.6111252
23,2.4888780564023818e-06,1024,64,0.13,3.125226237876598e-05,0.54,217.67652239999998
24,2.138162325211917e-06,1024,64,0.16,6.568623349373153e-05,0.37,217.6357334
25,1.3113210536345936e-06,1024,64,0.11,0.00025119461359332176,0.42000000000000004,217.78051580000002
26,1.4503312824727703e-06,1024,64,0.14,0.0003468117884133123,0.41000000000000003,217.6807742
27,3.290798713580798e-06,512,64,0.12000000000000001,0.0002093479109510654,0.35000000000000003,217.76200699999998
28,4.567006140459308e-06,1024,32,0.14,8.265320527956785e-06,0.49,217.8048366
29,5.175118973467524e-06,1024,32,0.16,7.842725187435156e-06,0.51,217.72460760000004
