trial_number,learning_rate,n_steps,batch_size,gamma,clip_range,ent_coef,value
0,7.707644929068803e-05,256,64,0.9460000000000001,0.25,0.05208942358740285,195.0282252
1,1.0968502236055906e-05,64,32,0.9420000000000001,0.27,0.0004324647260713762,188.9378742
2,3.983069900010251e-05,64,64,0.916,0.16,0.00023297283026882325,201.7399034
3,1.8694760095016046e-05,64,32,0.9690000000000001,0.13,0.009132416810858456,189.854059
4,0.00046047791184836904,256,16,0.9550000000000001,0.27,0.0044899773657479675,204.37326719999996
5,0.00098505248402106,128,16,0.983,0.15000000000000002,0.00012929266112515707,185.07098639999998
6,0.00017615307583420178,256,32,0.983,0.14,0.006346224719149726,190.2269564
7,0.0005224331393155811,64,64,0.918,0.29000000000000004,0.07142377030977258,206.1649852
8,0.00047589886967449604,64,16,0.9440000000000001,0.18,0.00019821560211281372,200.7668564
9,2.3839138552788034e-05,64,64,0.9430000000000001,0.25,0.0010245523049336707,187.98569619999998
10,0.00018790428991916658,512,64,0.902,0.3,0.07803968320881503,199.63927619999998
11,0.00048431680704974267,256,16,0.92,0.22,0.022740310162777822,202.6866872
12,0.0004107977016026097,512,16,0.928,0.3,0.0020282465978022036,195.8369876
13,0.00019712496829089724,128,64,0.966,0.1,0.02645278899180326,193.7858562
14,0.0009413240913130983,256,16,0.964,0.22,0.004353985911066022,199.8475286
15,0.00032791527473815494,256,64,0.9,0.27,0.017968003765553967,193.78110999999998
16,7.778054799646131e-05,128,16,0.931,0.27,0.0019390202057584785,192.3065972
17,0.0006831757957077372,512,16,0.9580000000000001,0.21000000000000002,0.010368890642819581,197.4623726
18,0.00012390873998056377,64,64,0.913,0.25,0.0006590556446546868,187.0601018
19,0.0002538655288980325,256,32,0.931,0.29000000000000004,0.09224290880712922,204.0741564
