trial_number,learning_rate,n_steps,batch_size,clip_range,ent_coef,vf_coef,n_layers,hidden_size,activation,gamma,gae_lambda,use_target_kl,reward_weight_demand,reward_weight_rebalancing,reward_weight_gini,value
61,2.363504891964854e-06,512,32,0.178,4.3711642073910636e-05,0.37,3,128,Tanh,0.932,0.895,0.022,0.5,1.5,0.0,233.57096220000003
62,2.0232558363918574e-06,512,32,0.16899999999999998,4.5336360364327416e-05,0.383,3,128,Tanh,0.933,0.894,0.022,0.5,1.5,0.0,233.6189214
63,2.020778103429381e-06,512,32,0.177,6.759257538239475e-05,0.383,3,128,Tanh,0.9390000000000001,0.895,0.022,0.5,1.5,0.0,233.58101459999997
64,1.4964335147794717e-06,512,32,0.178,4.434412108870917e-05,0.39,3,128,Tanh,0.9390000000000001,0.894,0.022,0.5,1.5,0.0,233.589945
65,1.4118060887181116e-06,512,32,0.18,6.675200048019188e-05,0.395,3,128,Tanh,0.9390000000000001,0.894,0.022,0.5,1.4000000000000001,0.0,232.33824600000003
66,1.1594657339948645e-06,512,32,0.195,0.0001499138087300907,0.379,3,128,Tanh,0.9390000000000001,0.894,0.022,0.5,1.4000000000000001,0.0,232.32727100000002
67,1.5646512963276893e-06,512,32,0.179,5.975166109357465e-05,0.36000000000000004,3,128,Tanh,0.9430000000000001,0.892,0.022,0.6,1.5,0.02,229.51228740000002
68,2.0180884040817307e-06,512,32,0.187,0.00012009969767597861,0.41000000000000003,3,128,Tanh,0.936,0.902,0.022,0.5,1.5,0.0,233.57145759999997
69,1.8544630517770493e-06,512,32,0.187,0.00011154805047194781,0.406,2,128,Tanh,0.936,0.903,0.022,0.6,1.1,0.0,224.3009642
70,1.3978872291724885e-06,512,32,0.16999999999999998,8.794061106862286e-05,0.387,3,128,Tanh,0.9470000000000001,0.895,0.022,0.5,1.4000000000000001,0.0,232.33142740000002
71,2.1083826510003065e-06,512,32,0.203,4.460260763092471e-05,0.406,3,128,Tanh,0.9390000000000001,0.901,0.022,0.5,1.5,0.02,232.6622926
72,2.0208192126854174e-06,512,32,0.189,0.00017604854743754207,0.34800000000000003,3,128,Tanh,0.934,0.902,0.022,0.5,1.5,0.0,233.74398920000004
73,1.9979734715651147e-06,512,32,0.19,0.00016908901386385986,0.34700000000000003,3,128,Tanh,0.934,0.907,0.022,0.5,1.5,0.0,233.50536700000004
74,1.8025778707813975e-06,512,32,0.16599999999999998,0.00012718684473754776,0.36100000000000004,3,128,Tanh,0.936,0.902,0.022,0.5,1.5,0.02,232.664158
75,1.6367655827138478e-06,512,32,0.177,0.00022412565697154258,0.375,3,128,Tanh,0.9430000000000001,0.9480000000000001,0.022,0.5,1.5,0.11,228.9277134
76,2.39894748956369e-06,1024,32,0.181,8.883998293416851e-05,0.41700000000000004,3,128,ReLU,0.937,0.896,0.022,0.5,1.5,0.0,233.66469659999998
77,2.0520348782097348e-06,1024,32,0.185,8.898399179110966e-05,0.384,3,128,ReLU,0.9400000000000001,0.916,0.022,0.5,1.4000000000000001,0.03,231.062617
78,1.8754732141860822e-06,1024,32,0.194,0.00018057313468616544,0.41500000000000004,3,128,ReLU,0.937,0.912,0.022,0.6,1.5,0.01,230.0181898
79,1.760401571604592e-06,1024,32,0.183,0.0001404071936973381,0.339,3,128,ReLU,0.934,0.897,0.022,0.5,1.5,0.15,227.3071792
80,1.5076256217582576e-06,1024,32,0.20500000000000002,9.941265821972488e-05,0.399,3,128,ReLU,0.937,0.893,0.022,1.0,1.0,0.09,208.2790668
81,2.378489121535034e-06,1024,32,0.174,6.023397012848739e-05,0.36700000000000005,3,128,ReLU,0.932,0.896,0.022,0.5,1.5,0.0,233.6095284
82,2.1756310947560437e-06,1024,32,0.173,6.183321286433394e-05,0.36100000000000004,3,128,ReLU,0.933,0.896,0.022,0.5,1.5,0.0,233.5379436
83,2.3865551540196536e-06,1024,32,0.16399999999999998,7.986890464613066e-05,0.383,3,128,ReLU,0.935,0.9,0.022,0.5,1.5,0.01,233.1802462
84,1.9565502856114646e-06,1024,32,0.198,0.00012019245843323237,0.41600000000000004,3,128,ReLU,0.9380000000000001,0.903,0.022,0.5,1.5,0.0,233.63909560000002
85,1.956308873367356e-06,1024,32,0.16899999999999998,5.478496215826722e-05,0.42500000000000004,3,128,ReLU,0.9400000000000001,0.905,0.022,0.8,0.9,0.01,213.4919328
86,2.374223732382766e-06,1024,32,0.196,0.00039140746082219846,0.391,3,128,ReLU,0.9380000000000001,0.908,0.022,0.5,1.4000000000000001,0.02,231.5092412
87,2.8469386541266946e-06,1024,32,0.19,0.0001484193576230306,0.35200000000000004,3,128,ReLU,0.9420000000000001,0.897,0.022,0.5,1.2000000000000002,0.0,229.7391988
88,8.136899202447212e-07,1024,32,0.215,0.00021678758417407657,0.36700000000000005,3,128,ReLU,0.934,0.893,0.022,0.5,1.5,0.02,232.82925880000002
89,2.1313554739387016e-06,1024,32,0.174,5.114693889948876e-05,0.35600000000000004,3,128,ReLU,0.931,0.9,0.022,0.7,1.5,0.01,227.1510702
90,1.9330471258044485e-06,1024,32,0.183,8.478405840279869e-05,0.34600000000000003,3,128,ReLU,0.9400000000000001,0.903,0.022,0.5,1.5,0.03,232.2917732
91,2.056573223956345e-06,1024,32,0.2,0.00011215783666166426,0.41300000000000003,3,128,ReLU,0.936,0.902,0.022,0.5,1.5,0.0,233.8201688
92,1.8594279064333968e-06,1024,32,0.201,0.00010021505906795981,0.41800000000000004,3,128,ReLU,0.936,0.899,0.022,0.5,1.5,0.0,233.5002172
93,1.7212849693046711e-06,1024,32,0.208,0.0001127019752311951,0.377,3,128,ReLU,0.9380000000000001,0.896,0.022,0.5,1.5,0.01,233.15181759999996
94,2.1817487062696306e-06,1024,32,0.16399999999999998,0.0009139653171374135,0.44100000000000006,3,128,ReLU,0.933,0.905,0.022,0.5,1.5,0.0,233.5909982
95,2.2925472825009533e-06,1024,32,0.198,0.0014757243458336526,0.44200000000000006,3,128,ReLU,0.932,0.933,0.022,0.5,1.4000000000000001,0.01,231.95644040000002
96,2.4870044064307135e-06,1024,32,0.224,0.0019652863573006766,0.43800000000000006,3,128,ReLU,0.933,0.894,0.022,0.5,1.5,0.02,232.7335928
97,2.1939228985085752e-06,1024,32,0.172,0.0011536939671455036,0.42300000000000004,3,128,ReLU,0.937,0.904,0.022,0.6,1.5,0.0,230.453599
98,2.5942740728016225e-06,1024,32,0.179,0.000919290983275272,0.397,3,128,ReLU,0.934,0.898,0.022,0.5,1.5,0.0,233.5000606
99,2.065256064165636e-06,1024,32,0.188,7.286121053069126e-05,0.41300000000000003,2,128,ReLU,0.9390000000000001,0.901,0.022,0.5,1.4000000000000001,0.01,231.93536139999998
