trial_number,gamma,gae_lambda,use_target_kl,value
0,0.9846190088447696,0.9,0.01,163.7503192
1,0.9508342954668292,0.96,0.02,163.585571
2,0.9779297878482072,0.97,0.01,163.69507700000003
3,0.9819915725410641,0.93,0.015,163.7775378
4,0.9503102868064409,0.9400000000000001,0.015,163.6519194
5,0.987131307322726,0.92,0.01,163.9366244
6,0.9663125960841226,0.96,0.015,164.08214759999998
7,0.970670698219816,0.9500000000000001,0.01,163.7744558
8,0.9528527642695843,0.9500000000000001,0.015,163.46215859999998
9,0.9635079683731873,0.9500000000000001,0.01,163.4953264
10,0.9709558248256909,0.9500000000000001,0.02,163.98539499999998
11,0.9625391588719237,0.97,0.02,163.86213200000003
12,0.9638746204263472,0.97,0.02,164.25020220000002
13,0.9709647291373431,0.96,0.02,164.1775932
14,0.9623285948469319,0.97,0.02,163.6721152
15,0.9586814142313697,0.97,0.02,163.6324122
16,0.9759497170419613,0.96,0.02,164.1861232
17,0.9758526475202767,0.93,0.02,163.4754982
18,0.9768819406465559,0.93,0.02,164.0040242
19,0.9764259661036211,0.91,0.02,163.5899258
20,0.9557681231315658,0.91,0.02,163.4483998
21,0.9672889225022023,0.9400000000000001,0.02,163.708169
22,0.9722618023171666,0.96,0.02,164.0885182
23,0.9728896035108312,0.96,0.02,163.79024280000002
24,0.9673523194203482,0.96,0.02,164.05256060000002
25,0.9809034246783148,0.96,0.02,163.7003432
26,0.9810753784550393,0.97,0.02,163.86654800000002
27,0.9593493174843262,0.97,0.02,163.477471
28,0.9582594740235062,0.9400000000000001,0.02,164.1629116
29,0.9738793918706028,0.9400000000000001,0.015,163.9947808
30,0.9887229211444054,0.9500000000000001,0.015,164.0750786
31,0.9684570202747388,0.9500000000000001,0.01,163.5476686
32,0.9590315806206648,0.9,0.02,163.9774234
33,0.9579467574733621,0.96,0.02,163.5714048
34,0.9638422403377643,0.96,0.02,163.70589220000002
35,0.9637793062604921,0.97,0.02,163.6351564
36,0.953527344482357,0.9400000000000001,0.02,163.6250646
37,0.9839476923942535,0.9400000000000001,0.02,163.7692308
38,0.9840144908785512,0.96,0.01,163.5906354
39,0.9610920946286533,0.92,0.01,163.855674
40,0.9798650041166276,0.92,0.015,163.63334019999996
41,0.978718155595264,0.92,0.015,163.7937096
42,0.97371639604161,0.96,0.02,163.79266820000004
43,0.9738799958418443,0.96,0.02,163.5915222
44,0.9695714518268657,0.9500000000000001,0.02,163.73093799999998
45,0.9654084850013618,0.9500000000000001,0.02,163.8880128
46,0.9660433698751472,0.97,0.02,163.96153320000002
47,0.9714792041974586,0.97,0.02,163.31252039999998
48,0.971484820054878,0.97,0.02,163.7217474
49,0.9558827965324478,0.9500000000000001,0.02,163.7548082
