trial_number,rdc_lr,rdc_lr_step_size,rdc_lr_gamma,rdc_gamma,value
0,1.3042686826018976e-06,1000,0.8,0.9679470052878045,94.2950344038237
2,1.9353926171183355e-06,500,0.2,0.9853540022059482,93.18881738286612
4,5.10783496629882e-06,500,0.5,0.9032488305981522,91.5271080563406
3,2.1389637293340065e-06,1500,0.9,0.9879338453234089,95.5403767214561
1,2.9280913213883712e-05,500,0.30000000000000004,0.9041328105567462,94.95881758439427
5,1.1620607345361229e-06,1000,0.6,0.9693822539693787,94.28573357196532
6,1.1271099007655269e-05,500,0.30000000000000004,0.9890659743334707,92.29915277171183
7,2.562453272747077e-06,1500,0.7000000000000001,0.9133894106917959,95.19917501834473
8,1.7242044047784793e-05,1500,0.6,0.9985369938088391,94.79247232037793
9,5.486748181932263e-06,1000,0.2,0.9490447478743533,94.5668834336552
10,5.668920253862544e-06,2000,0.4,0.910529485376457,95.04378475920103
11,6.207323492757984e-05,500,0.6,0.9725833369196553,94.02465215113176
13,5.529288442384877e-05,1500,0.1,0.9428218355644639,94.51786586402903
12,5.127020068016353e-06,2000,0.5,0.9697052648304354,93.56659898315313
14,8.525060135553122e-05,2000,0.9,0.9369417725505615,94.82024170657256
15,2.772716401218332e-06,2000,0.9,0.929957950482501,94.8553679171332
16,2.7011587874116324e-06,1500,0.9,0.9319091929216072,95.13933590192318
17,2.748409457203921e-06,2000,0.9,0.9340766065864101,95.46562507347866
18,2.669741491241299e-06,1500,0.9,0.9258526137396114,96.05692533503053
19,2.73705389068445e-06,1500,0.8,0.9242545639038661,94.82484558407887
