trial_number,rdc_epsilon_end,rdc_epsilon_decay,value
0,0.14200000000000002,0.9878990712134477,78.12807849368228
3,0.054,0.978732410612149,77.18170375827516
4,0.055,0.9828031908868311,78.40267183344096
1,0.024,0.9694126249569882,78.21795038296133
2,0.075,0.9706312902070723,78.84482356366416
5,0.113,0.9682722213104776,77.91004396605088
6,0.09999999999999999,0.9867919208991501,78.51524206014022
7,0.013000000000000001,0.9764670864477237,78.82345380395236
8,0.089,0.9899135575525817,78.61724787233314
9,0.092,0.9781844847870573,77.74444017997585
10,0.062000000000000006,0.9622414874474229,79.28873491896967
11,0.14500000000000002,0.9866583240749973,78.49151139521817
12,0.103,0.9860682178183123,79.00082771024046
13,0.069,0.9647244842976178,79.28760777281425
14,0.060000000000000005,0.9614850499498208,79.6705209811816
15,0.058,0.9600602827097986,77.57904915933435
16,0.061000000000000006,0.9605267186267484,78.61172252604455
17,0.12,0.9619601510251314,78.68989602541606
18,0.058,0.9601882959253738,76.55424594987737
19,0.04,0.9611663421520003,78.55822295667674
20,0.033,0.9604449130498017,78.75664221282454
21,0.036000000000000004,0.9645394987565641,77.42711683671192
22,0.037,0.9653452732170438,79.26289509572209
23,0.03,0.9661269555763202,78.8113178211209
24,0.038,0.9656229775536135,79.11158927207012
25,0.074,0.965896516644161,78.73663728331937
26,0.075,0.9654606140027077,77.99185050457164
27,0.074,0.9654651377922061,78.5522920441778
28,0.073,0.9718684862691664,79.36889270021683
29,0.073,0.9726974479323836,79.32997005113113
30,0.069,0.9720689459959627,78.83440644569147
31,0.068,0.9716559337949057,78.4188095200005
32,0.047,0.9721604793339269,78.37725017970786
33,0.13,0.9728490903496384,77.60653488737312
34,0.047,0.9728961539106691,78.77110443287563
35,0.086,0.9742548106891953,78.68726241241589
36,0.047,0.9744134317715579,78.78931425172016
37,0.08499999999999999,0.968536158461108,78.9820074956207
38,0.08399999999999999,0.9693619436895559,78.14662859583821
39,0.08499999999999999,0.9682201048367668,78.09282018135897
40,0.082,0.968597484913329,79.19782422466182
41,0.08,0.9677265823566378,78.244366347585
42,0.081,0.9810951267864593,77.72894549212647
43,0.095,0.9821321434863005,78.09071624955308
44,0.09899999999999999,0.9814908659764121,78.16182567683441
45,0.063,0.963085974011109,78.1378987180765
46,0.065,0.9635195266557577,78.50991046008566
47,0.065,0.9626710314088853,78.13707225755942
48,0.064,0.9631191506707296,78.42535099017866
49,0.065,0.9634523011741508,78.05136335851039
