trial_number,learning_rate,n_steps,batch_size,gamma,clip_range,ent_coef,value
0,0.0002651648651796852,512,16,0.9002163354757609,0.12225530863117669,0.00012543043951297687,193.5372828
1,1.0273391932902064e-05,64,16,0.945300682798297,0.24888890629669,0.0005067703964205696,192.566362
2,1.5340018566011188e-05,512,64,0.9310962887285122,0.15633027021094337,0.0007528880650390773,196.1059098
3,1.5289575827999675e-05,128,64,0.9744766282459479,0.29390320719142976,0.01025921347195288,192.7055384
4,2.25568584965028e-05,256,16,0.9625598977592218,0.2152386749935825,0.00452090791910674,198.317301
5,0.0004284234781195317,64,32,0.9114744622639531,0.1620903135346832,0.0004499743332430179,193.137091
6,1.3274020269685917e-05,64,32,0.972330249904394,0.12562319186745294,0.00041639516178134517,184.6037056
7,0.0005258173441570072,256,64,0.935260797050428,0.2338552863308517,0.001831451780978841,188.4188528
8,0.0004880560091497114,64,16,0.906691651058534,0.12291411897668923,0.012050372794874378,199.7506256
9,2.2744082184288632e-05,128,32,0.9239949438064131,0.21414151373215792,0.002732789600400099,185.14987939999997
10,0.00010422728141392048,64,16,0.9943383451673636,0.10358232174354093,0.09837378954626935,203.3757678
11,0.0001109473694255527,64,16,0.9943377993657615,0.10148196654524758,0.08677558456350322,205.64862779999999
12,8.331304181152316e-05,64,16,0.9979797749149794,0.10365405334366706,0.09858615893080845,190.158841
