trial_number,rdc_replay_buffer_capacity,rdc_replay_buffer_alpha,rdc_replay_buffer_beta_start,rdc_replay_buffer_beta_frames,rdc_tau,rdc_batch_size,rdc_hidden_dim,rdc_lr,rdc_lr_step_size,rdc_lr_gamma,rdc_gamma,rdc_epsilon_end,rdc_epsilon_decay,rdc_reward_weight_demand,rdc_reward_weight_rebalancing,rdc_reward_weight_gini,value
0,7400,0.8600000000000001,0.44000000000000006,160000,0.0084,128,128,3.2189643931959246e-06,2700,0.937,0.983,0.077,0.995,0.4,1.6,0.09,91.87533535059191
3,7900,0.81,0.53,220000,0.0092,128,128,1.1790467454987338e-06,2400,0.93,0.988,0.077,0.991,0.30000000000000004,1.8,0.03,88.5196724826905
1,2300,0.68,0.43000000000000005,80000,0.007899999999999999,256,256,3.1858360037532544e-06,2800,0.9450000000000001,0.991,0.047,0.996,0.4,2.1,0.07,90.94374925600725
4,6200,0.8800000000000001,0.44000000000000006,90000,0.0087,256,128,9.84228493526842e-07,2600,0.929,0.984,0.07300000000000001,0.992,0.30000000000000004,2.2,0.03,89.43642987974128
2,9700,0.8500000000000001,0.4,90000,0.0084,256,128,8.1872126753933e-06,2900,0.9440000000000001,0.989,0.07,0.992,0.30000000000000004,1.3,0.04,92.83477833578343
5,1600,0.79,0.52,90000,0.0098,128,256,6.222753538519478e-06,2200,0.9470000000000001,0.984,0.078,0.997,0.5,1.5,0.09,88.93964963780923
6,10800,0.91,0.23,50000,0.009899999999999999,128,128,7.855455117443664e-07,2800,0.929,0.987,0.077,0.991,0.4,1.5,0.09,84.53325725923654
7,7800,0.74,0.33,160000,0.0095,256,128,4.940685409277495e-06,2600,0.934,0.98,0.079,0.995,0.2,2.0,0.09,93.18597382872679
8,4900,0.8,0.36,130000,0.0081,128,256,1.2598407417860911e-06,2600,0.928,0.989,0.06,0.991,0.5,2.2,0.0,87.30455109773375
9,3800,0.68,0.38,190000,0.01,512,256,6.2682558499826175e-06,2400,0.9470000000000001,0.984,0.063,0.998,0.2,1.6,0.01,95.35264303033952
11,5300,0.6900000000000001,0.34,50000,0.0101,512,128,7.785914833453472e-07,2600,0.9440000000000001,0.98,0.07,0.992,0.1,1.4000000000000001,0.08,91.36077968366007
10,9900,0.8400000000000001,0.33,110000,0.0092,128,256,6.219139181256855e-06,2400,0.9400000000000001,0.989,0.075,0.993,0.2,1.3,0.0,92.97201433079238
12,1300,0.8600000000000001,0.34,60000,0.008499999999999999,256,256,1.3617449790548463e-06,2700,0.925,0.984,0.078,0.998,0.5,1.5,0.05,94.17075839812246
14,3800,0.7000000000000001,0.24000000000000002,220000,0.0101,512,256,4.05428786907799e-07,3300,0.917,0.979,0.06,0.999,0.1,1.8,0.0,96.56304239557167
13,5900,0.8700000000000001,0.28,100000,0.007899999999999999,128,128,4.406658711719188e-07,2800,0.927,0.986,0.061,0.994,0.2,1.8,0.04,92.78211714669554
15,3500,0.7300000000000001,0.27,190000,0.0094,512,256,4.260337043809003e-06,3300,0.919,0.979,0.057999999999999996,0.998,0.1,1.9000000000000001,0.0,96.55666069593961
16,3900,0.74,0.26,190000,0.0096,512,256,4.0866881667473164e-07,3200,0.953,0.979,0.06,0.999,0.1,1.9000000000000001,0.06,94.50731656823007
17,3200,0.74,0.25,220000,0.008799999999999999,512,256,4.1992636114572345e-07,3200,0.918,0.982,0.06,0.999,0.1,1.7000000000000002,0.06,95.44900797562387
18,3400,0.7300000000000001,0.17,220000,0.0102,512,256,4.3766413602152537e-07,3300,0.918,0.979,0.059,0.999,0.1,1.8,0.01,98.25039803447808
19,3200,0.7200000000000001,0.18000000000000002,220000,0.0102,512,256,4.6601431832794556e-07,3300,0.919,0.982,0.057999999999999996,0.999,0.1,1.7000000000000002,0.01,97.35575886507048
20,3200,0.74,0.19,220000,0.0095,512,256,2.352352143414349e-06,3300,0.918,0.979,0.056,0.999,0.1,1.9000000000000001,0.02,97.7711040930713
21,3200,0.7300000000000001,0.18000000000000002,220000,0.0102,512,256,2.168349488094943e-06,3300,0.917,0.982,0.054,0.999,0.1,1.9000000000000001,0.02,95.58923366410093
22,2900,0.7100000000000001,0.17,190000,0.0102,512,256,2.2117037750018577e-06,3300,0.917,0.981,0.054,0.997,0.1,2.0,0.02,96.5207885502156
24,2600,0.77,0.19,150000,0.0102,512,256,6.282106152300121e-07,3000,0.922,0.981,0.054,0.997,0.2,1.7000000000000002,0.02,91.2520610477725
23,2700,0.7100000000000001,0.17,160000,0.0102,512,256,6.123254528342811e-07,3000,0.921,0.981,0.054,0.997,0.1,1.7000000000000002,0.02,94.80999022773429
25,2500,0.76,0.17,200000,0.0102,512,256,2.1535253051832124e-06,3100,0.923,0.981,0.054,0.997,0.2,1.7000000000000002,0.02,91.60649131165329
26,2400,0.77,0.18000000000000002,170000,0.0097,512,256,6.094237244682172e-07,3100,0.922,0.981,0.054,0.997,0.2,1.7000000000000002,0.02,92.97577502068769
27,2400,0.77,0.2,160000,0.0097,512,256,6.476662673190236e-07,3100,0.922,0.981,0.054,0.997,0.2,1.7000000000000002,0.02,94.81203765767353
28,4800,0.77,0.21000000000000002,200000,0.0097,512,256,1.70879446184459e-06,3100,0.922,0.981,0.083,0.998,0.2,2.0,0.01,92.42009657908403
29,4600,0.76,0.21000000000000002,200000,0.0097,512,256,1.5171676998375698e-06,3100,0.923,0.98,0.05,0.998,0.2,2.0,0.01,96.04651274651034
30,4700,0.77,0.21000000000000002,200000,0.0097,512,256,1.6240993346813876e-06,3100,0.921,0.98,0.049,0.998,0.2,2.0,0.01,95.23461993456823
31,4700,0.7200000000000001,0.21000000000000002,200000,0.0093,512,256,1.6916886374573908e-06,3100,0.925,0.98,0.083,0.998,0.1,2.0,0.01,95.78218371645701
32,4500,0.7200000000000001,0.21000000000000002,200000,0.0093,512,256,1.5242433128326505e-06,3200,0.925,0.98,0.049,0.998,0.1,2.0,0.01,96.53075417252788
33,4500,0.7200000000000001,0.30000000000000004,210000,0.0092,512,256,3.04208131217674e-06,3200,0.933,0.983,0.048,0.996,0.1,1.9000000000000001,0.01,96.58584020861376
34,6700,0.7200000000000001,0.29000000000000004,130000,0.0093,512,256,3.285425995166694e-06,3200,0.932,0.983,0.067,0.996,0.1,1.6,0.04,93.77936144847111
35,4000,0.7100000000000001,0.29000000000000004,220000,0.01,512,256,5.260619955985318e-07,3200,0.919,0.979,0.066,0.999,0.1,1.8,0.0,96.41885315787756
36,1800,0.7000000000000001,0.29000000000000004,220000,0.01,512,256,2.859877522258796e-06,3300,0.919,0.979,0.057,0.999,0.1,1.8,0.0,98.15654451731902
37,4000,0.7000000000000001,0.30000000000000004,220000,0.01,512,256,2.785797592175023e-06,3300,0.919,0.979,0.057,0.999,0.1,1.8,0.0,97.32240931413199
38,1800,0.7000000000000001,0.29000000000000004,210000,0.009,512,256,3.136517661733249e-06,3200,0.9380000000000001,0.983,0.066,0.996,0.1,1.8,0.03,97.589196975581
39,1900,0.6900000000000001,0.30000000000000004,210000,0.009,256,256,3.1188481543360223e-06,3300,0.936,0.983,0.057,0.996,0.4,1.8,0.03,92.9045632751959
40,1800,0.8200000000000001,0.47,210000,0.009,256,256,2.6592730287630565e-06,2900,0.9390000000000001,0.983,0.057,0.996,0.4,1.9000000000000001,0.03,91.62804207758332
41,1900,0.6900000000000001,0.5,180000,0.009899999999999999,256,128,2.8531840339241524e-06,2900,0.92,0.982,0.057999999999999996,0.995,0.4,1.8,0.03,92.29896325991055
42,1800,0.68,0.23,180000,0.009899999999999999,256,128,1.0491133923876954e-06,2900,0.92,0.982,0.064,0.999,0.30000000000000004,2.1,0.03,90.68403973178096
43,1800,0.68,0.45999999999999996,180000,0.009,256,128,3.951253609734156e-06,2900,0.937,0.991,0.063,0.995,0.4,2.1,0.03,89.8960360416992
44,1800,0.68,0.5,180000,0.009,256,128,3.99665923427396e-06,2900,0.9380000000000001,0.986,0.064,0.995,0.30000000000000004,2.1,0.03,93.28653594212922
45,1200,0.68,0.23,180000,0.009899999999999999,512,128,4.311946133312043e-06,3000,0.9380000000000001,0.982,0.063,0.999,0.30000000000000004,2.1,0.03,95.89633534127788
46,1200,0.75,0.23,180000,0.008799999999999999,512,256,1.0895769458420334e-06,3000,0.931,0.985,0.064,0.999,0.30000000000000004,2.1,0.04,96.49953421717652
47,1500,0.75,0.23,210000,0.008799999999999999,512,256,3.946460607200095e-06,3000,0.9390000000000001,0.991,0.069,0.994,0.1,1.6,0.04,95.77975580968442
48,3200,0.75,0.38,30000,0.008799999999999999,128,256,2.3823452462466675e-06,3000,0.9410000000000001,0.985,0.068,0.994,0.1,1.6,0.01,96.68300918331548
49,1300,0.75,0.39,210000,0.008799999999999999,128,256,2.434020409344876e-06,2200,0.9410000000000001,0.985,0.069,0.994,0.1,1.6,0.1,93.95671439175283
51,8800,0.92,0.38,210000,0.0101,512,256,4.871319782666419e-07,3300,0.9420000000000001,0.985,0.07100000000000001,0.998,0.1,1.6,0.1,93.24322124806
50,3100,0.75,0.41000000000000003,210000,0.0087,128,256,4.893438379132719e-07,2200,0.9410000000000001,0.985,0.051000000000000004,0.999,0.1,1.6,0.04,93.6744108475012
52,3000,0.79,0.41000000000000003,30000,0.0095,128,256,5.090778726259527e-07,2100,0.9420000000000001,0.979,0.051000000000000004,0.998,0.1,1.9000000000000001,0.0,98.77057928734226
53,5600,0.9,0.42000000000000004,210000,0.0095,128,256,7.994387776777443e-07,2100,0.927,0.979,0.051000000000000004,0.998,0.1,1.9000000000000001,0.0,95.83179933365201
54,8700,0.91,0.32,140000,0.0095,512,256,5.6420333074164354e-06,2100,0.926,0.979,0.07200000000000001,0.993,0.1,1.9000000000000001,0.05,95.88920001968678
55,5300,0.7000000000000001,0.31000000000000005,220000,0.01,512,256,1.9736607427765877e-06,3300,0.919,0.979,0.052,0.999,0.1,1.8,0.0,97.36334415537286
56,5700,0.7000000000000001,0.32,220000,0.01,512,256,3.431091375234859e-06,3300,0.919,0.979,0.056,0.999,0.1,1.8,0.0,96.66488830858715
57,2200,0.79,0.36,70000,0.0094,128,256,8.880101645126868e-07,2100,0.9450000000000001,0.979,0.052,0.999,0.1,1.9000000000000001,0.0,98.14707016732804
58,2200,0.8200000000000001,0.35,70000,0.0095,128,256,7.228421201774353e-07,2500,0.9480000000000001,0.979,0.052,0.999,0.1,1.8,0.0,96.0380015545721
59,3600,0.79,0.35,80000,0.0098,128,256,9.163929523268144e-07,3300,0.9490000000000001,0.98,0.052,0.999,0.1,1.8,0.0,96.65071184121243
60,6700,0.79,0.26,80000,0.0084,128,256,1.9810042992634126e-06,2300,0.9470000000000001,0.98,0.047,0.999,0.1,1.8,0.0,97.14925656887922
61,2200,0.79,0.36,30000,0.0084,128,256,8.267141036124013e-06,2500,0.9460000000000001,0.98,0.052,0.999,0.2,1.9000000000000001,0.0,97.13934093879874
62,2200,0.79,0.36,70000,0.0091,128,256,7.398346906697846e-07,2500,0.9460000000000001,0.98,0.061,0.998,0.2,1.9000000000000001,0.0,95.40850601482545
63,3600,0.79,0.36,40000,0.008499999999999999,128,256,7.721164869844556e-06,2100,0.9440000000000001,0.98,0.047,0.998,0.2,1.9000000000000001,0.01,95.83592399834694
64,2800,0.78,0.26,40000,0.0091,128,256,5.549018084698516e-07,2300,0.9450000000000001,0.988,0.061,0.998,0.2,1.9000000000000001,0.01,95.47210539509373
65,2800,0.8400000000000001,0.36,30000,0.0091,128,256,1.8562855381450768e-06,2300,0.9440000000000001,0.979,0.056,0.998,0.2,1.9000000000000001,0.01,94.65787654220867
66,2800,0.81,0.33,40000,0.0091,128,256,1.9009436061832063e-06,2300,0.9440000000000001,0.979,0.056,0.998,0.1,1.9000000000000001,0.01,98.43118082669999
67,2800,0.81,0.32,110000,0.0094,128,256,1.9668396641982216e-06,2200,0.9430000000000001,0.979,0.056,0.998,0.1,1.9000000000000001,0.01,97.32018394759754
68,2700,0.7300000000000001,0.32,50000,0.0096,512,256,5.481887480429215e-07,3200,0.917,0.979,0.056,0.998,0.1,1.9000000000000001,0.02,97.44475176852734
69,5200,0.8400000000000001,0.32,120000,0.0096,512,256,1.8252363201061776e-06,2700,0.9430000000000001,0.979,0.056,0.999,0.1,1.7000000000000002,0.02,95.01828788202656
70,5100,0.7300000000000001,0.32,120000,0.0096,512,256,1.4076294782578045e-06,3200,0.9500000000000001,0.979,0.055,0.999,0.1,1.7000000000000002,0.02,96.23742276059752
71,4200,0.81,0.44000000000000006,110000,0.0092,128,256,1.3759070622694717e-06,2100,0.9490000000000001,0.979,0.059,0.997,0.1,2.0,0.02,97.66493982794478
72,3500,0.81,0.44000000000000006,50000,0.0094,128,256,1.3811811829914823e-06,2200,0.9500000000000001,0.979,0.055,0.997,0.1,2.0,0.02,98.3474738081078
73,4100,0.81,0.44000000000000006,60000,0.0092,128,256,1.3013486852407022e-06,2700,0.9510000000000001,0.981,0.059,0.997,0.1,2.0,0.02,95.65292776064267
74,1500,0.81,0.28,40000,0.0094,128,256,1.3295143471178517e-06,2100,0.9510000000000001,0.981,0.059,0.997,0.1,2.0,0.02,96.17467431780683
75,4200,0.7300000000000001,0.44000000000000006,50000,0.0094,128,256,5.423769057070843e-07,2100,0.934,0.98,0.059,0.997,0.1,2.0,0.02,96.09393056741757
76,4100,0.81,0.45000000000000007,60000,0.0094,128,256,9.130516069769301e-07,2100,0.9520000000000001,0.98,0.057999999999999996,0.997,0.1,2.0,0.07,95.3891720532619
77,4300,0.81,0.44000000000000006,40000,0.0094,128,256,1.3293341961132412e-06,2100,0.9520000000000001,0.98,0.059,0.997,0.1,2.0,0.08,94.95533325354538
78,3400,0.8200000000000001,0.43000000000000005,40000,0.0094,128,256,1.2033420295672722e-06,2100,0.953,0.98,0.059,0.997,0.1,2.0,0.01,97.27234806525829
79,3500,0.8300000000000001,0.45999999999999996,50000,0.0093,128,256,1.189532283927119e-06,2200,0.953,0.98,0.059,0.997,0.1,2.0,0.08,93.88411607859662
80,3400,0.8300000000000001,0.45999999999999996,60000,0.0093,128,256,9.260226800549695e-07,2200,0.9460000000000001,0.98,0.053,0.997,0.5,2.0,0.08,84.48738314495505
81,3400,0.8300000000000001,0.43000000000000005,50000,0.0093,128,256,1.2094424393630492e-06,2200,0.9490000000000001,0.979,0.053,0.998,0.1,1.9000000000000001,0.01,97.52277275693511
82,3400,0.8,0.42000000000000004,60000,0.0093,128,256,1.175264434764234e-06,2200,0.9480000000000001,0.979,0.053,0.998,0.1,1.9000000000000001,0.01,97.543944297081
83,3000,0.8400000000000001,0.48,90000,0.0093,128,128,1.47494702456137e-06,2200,0.9480000000000001,0.979,0.053,0.998,0.1,2.2,0.01,98.02732441318445
84,2500,0.8,0.4,100000,0.0081,128,128,1.5115228840495144e-06,2200,0.9480000000000001,0.979,0.053,0.998,0.1,1.9000000000000001,0.01,97.69417594706017
85,3800,0.8,0.4,70000,0.0089,128,256,2.5136855286356938e-06,2200,0.9480000000000001,0.979,0.055,0.996,0.1,1.8,0.01,97.07352214580118
86,3000,0.8,0.41000000000000003,70000,0.0089,128,128,2.346689207795682e-06,2300,0.9480000000000001,0.979,0.055,0.996,0.1,1.8,0.01,96.45847440169156
87,3000,0.78,0.4,100000,0.0089,128,128,2.3210285623442998e-06,2300,0.918,0.979,0.062,0.996,0.1,2.2,0.02,97.7582749534524
88,3000,0.8600000000000001,0.48,100000,0.0091,128,128,1.4965426543676207e-06,2300,0.9480000000000001,0.979,0.055,0.998,0.1,2.2,0.0,97.8474145795683
89,3000,0.8600000000000001,0.48,90000,0.008,128,128,1.5300403643183396e-06,2300,0.9480000000000001,0.979,0.05,0.998,0.1,2.2,0.01,96.120708918427
90,3000,0.8600000000000001,0.5,90000,0.0081,128,128,2.1978087241860256e-06,2300,0.9450000000000001,0.979,0.05,0.998,0.1,2.2,0.0,97.14482171452295
91,2300,0.8700000000000001,0.51,90000,0.0081,128,128,1.6549890233217219e-06,2400,0.9450000000000001,0.979,0.05,0.999,0.1,2.2,0.0,96.9893444306069
92,2100,0.8600000000000001,0.19,90000,0.0101,128,128,4.416658904925984e-07,2400,0.917,0.981,0.051000000000000004,0.999,0.1,2.2,0.0,97.56261567844906
93,2500,0.8600000000000001,0.49,90000,0.0098,128,128,1.6153272797408017e-06,2300,0.9450000000000001,0.981,0.051000000000000004,0.999,0.1,2.2,0.0,97.20808874636334
94,2400,0.8500000000000001,0.49,90000,0.0091,128,128,1.6536943813035895e-06,2400,0.9450000000000001,0.981,0.05,0.999,0.2,2.2,0.0,97.26021633630097
95,2500,0.78,0.48,100000,0.0091,128,128,1.7393761783228788e-06,2300,0.918,0.98,0.061,0.999,0.1,2.2,0.0,97.76396138477392
96,2000,0.78,0.48,100000,0.0098,128,128,4.4620900364141703e-07,2300,0.918,0.98,0.062,0.999,0.1,2.2,0.0,96.64244104739262
97,2500,0.78,0.48,100000,0.0089,128,128,1.7796916391532545e-06,2400,0.921,0.98,0.062,0.999,0.1,2.2,0.0,97.4226434286596
98,2000,0.78,0.52,100000,0.0091,128,128,2.5992633491542203e-06,2400,0.918,0.98,0.061,0.998,0.1,2.2,0.0,96.9481378047303
99,3700,0.78,0.39,80000,0.0089,128,128,2.128152370106285e-06,2400,0.918,0.98,0.062,0.998,0.1,2.1,0.0,97.00500068933728
