trial_number,learning_rate,n_steps,batch_size,clip_range,ent_coef,vf_coef,value
0,0.0001407609171783728,512,64,0.12,1.9852161514057443e-06,0.9,180.713818
1,0.00012122542567777025,512,64,0.12,9.104710174486732e-06,0.4,181.0836214
2,6.0653607076451785e-06,512,64,0.22,2.8704907013883683e-06,0.30000000000000004,181.10637699999998
3,3.591248811426165e-05,256,32,0.13999999999999999,8.487709257272957e-05,0.6,180.773171
4,3.935932509286208e-06,512,32,0.12,0.0007269330103167281,0.7000000000000001,181.4156036
5,0.0001288565994098102,512,32,0.22,3.5391372223535573e-06,0.30000000000000004,180.86004780000002
6,6.84871028617177e-05,256,32,0.22,7.448660250964247e-05,0.5,180.9155734
7,2.638016782737301e-06,512,32,0.22,2.5184170495376023e-06,0.8,181.30899019999998
8,3.330641888062215e-06,256,32,0.13999999999999999,0.0030295911365331887,0.2,180.94088340000002
9,6.967833405125267e-06,256,64,0.19,1.4701451769828876e-06,0.1,181.17005139999998
10,1.6272481443527056e-06,512,32,0.16999999999999998,0.0046828228903401685,0.7000000000000001,181.476114
11,1.115191937241872e-06,512,32,0.16999999999999998,0.0067541374754822225,0.7000000000000001,181.15094679999999
12,1.1095410968219558e-06,512,32,0.16999999999999998,0.0010092038824519097,1.0,181.2784838
13,2.0464226173796315e-05,512,32,0.19,0.0007363716995455278,0.7000000000000001,181.5130902
14,2.4092426867026165e-05,512,32,0.19,0.0005201560856750108,0.6,181.51350459999998
15,1.9533753916143637e-05,512,32,0.19,0.00034931655259393753,0.5,181.68489060000002
16,1.5900060366371986e-05,512,32,0.19,0.00022065551064207305,0.5,181.1170544
17,3.9701994969840694e-05,512,32,0.2,2.4259624349041877e-05,0.4,181.07131959999998
18,9.983510402552956e-06,256,64,0.2,0.0003864967128941474,0.6,181.0650946
19,2.6837623270382327e-05,512,32,0.15,3.561384622925286e-05,0.4,181.320199
20,5.645634130483328e-05,512,32,0.18,0.0002073796423050118,0.9,181.2466116
21,1.9906079893502867e-05,512,32,0.2,0.0017891884642228675,0.6,181.20016219999997
22,1.1357029124590983e-05,512,32,0.18,0.0005933023094630587,0.8,181.24860520000001
23,2.1245670071455205e-05,512,32,0.19,0.00029690389343220983,0.5,181.0006092
24,6.688903133991839e-05,512,32,0.21,0.001735436563803798,0.8,180.75944679999998
25,2.937808898897923e-05,512,32,0.16,0.00016517887662965912,0.7000000000000001,181.44243160000002
26,1.4134417916172035e-05,256,64,0.18,0.0014092224697385635,0.6,180.95678700000002
27,8.320914016373222e-06,512,32,0.21,0.0005306454587138988,0.5,181.0839662
28,1.9638225069985656e-05,512,32,0.19,0.0001118302949240936,0.30000000000000004,181.1057388
29,5.2550741521440425e-05,512,64,0.16,4.524129832483089e-05,0.9,180.6236378
