trial_number,n_layers,hidden_size,activation,value
0,3,128,Tanh,164.0045356
1,4,96,SiLU,164.0766482
2,2,64,Tanh,163.9699534
3,3,96,LeakyReLU,164.4388064
4,3,256,ReLU,164.35283199999998
5,4,96,SiLU,163.88093980000002
6,4,64,ReLU,163.9961594
7,4,256,Tanh,163.70068540000003
8,4,128,LeakyReLU,164.0223148
9,2,256,SiLU,163.97212679999998
10,3,96,LeakyReLU,163.6785902
11,3,256,ReLU,163.76153960000002
12,3,96,LeakyReLU,163.89327880000002
13,2,256,ReLU,163.8718482
14,3,256,ReLU,164.25843460000002
15,3,96,LeakyReLU,164.1193218
16,2,64,LeakyReLU,164.1087298
17,3,128,ReLU,164.1524866
18,2,96,LeakyReLU,164.2436846
19,3,256,ReLU,164.2402288
20,3,256,LeakyReLU,164.0698658
21,3,256,ReLU,164.1139522
22,3,256,ReLU,164.2187266
23,3,256,ReLU,164.40286700000001
24,3,256,ReLU,163.9512686
25,4,96,ReLU,164.176129
26,2,64,Tanh,164.1596686
27,3,128,SiLU,164.1535614
28,3,256,ReLU,164.613204
29,2,128,Tanh,164.5428514
30,2,128,Tanh,163.92459559999998
31,2,128,Tanh,164.442344
32,2,128,Tanh,164.0040746
33,2,128,Tanh,163.87258860000003
34,2,128,Tanh,163.9740306
35,2,128,Tanh,163.9811856
36,2,128,Tanh,164.097567
37,4,96,Tanh,164.011742
38,2,128,SiLU,164.23828519999998
39,4,64,Tanh,164.14352960000002
40,2,128,Tanh,163.8094274
41,3,256,ReLU,164.3347348
42,3,96,LeakyReLU,163.77806640000003
43,3,256,SiLU,163.9630072
44,3,96,ReLU,163.8064868
45,3,128,LeakyReLU,164.3542938
46,4,256,Tanh,163.88214820000002
47,2,64,ReLU,164.0027322
48,3,96,LeakyReLU,163.853739
49,3,256,ReLU,163.9775568
