trial_number,rdc_batch_size,rdc_hidden_dim,value
1,256,256,78.56036247580413
2,256,256,77.20246055776069
0,256,256,78.05532509123643
4,256,512,78.05876572763648
3,256,512,79.17746547818578
5,256,512,78.93133449388479
7,512,512,78.54159323078514
6,256,256,77.99301616202965
8,256,512,78.54470488515555
9,512,256,78.2292859125326
12,512,256,77.26666918574152
10,256,256,78.43085175267689
11,256,256,77.86744590180365
14,512,512,79.17373683364592
13,256,256,78.1018710888245
16,256,512,78.34625719347531
15,256,512,78.5466947068208
17,256,512,77.83869814442491
19,512,512,77.3090838994659
18,512,512,79.1670334164011
20,512,512,78.5897354120311
21,512,512,77.6567934190568
22,512,512,78.43711624563856
23,512,512,78.69914686152092
24,512,512,78.78521654341792
25,512,512,78.30227552491667
26,512,512,78.24465034052182
27,512,512,76.96744897280394
28,512,512,78.40338982787738
29,512,512,78.99991848508226
30,512,512,78.92274125838047
31,512,512,78.03783764090362
32,512,512,78.8436486353439
33,512,512,78.49039990268398
34,512,512,78.67232511384012
35,512,512,78.467954508396
36,512,512,78.30519709873867
37,512,512,78.07304174431206
38,512,512,78.16683635835938
39,512,512,77.8936201080174
40,256,512,78.97216028243382
41,256,512,79.63947088609113
42,256,512,78.04624991506266
43,256,512,77.78872468906512
44,256,256,78.6869765751155
45,256,512,79.14136537937502
46,256,512,77.82979059346331
47,256,256,77.97877542021038
48,256,256,77.74734100480643
49,256,256,78.70169196093498
