trial_number,rdc_replay_buffer_capacity,rdc_replay_buffer_alpha,rdc_replay_buffer_beta_start,rdc_replay_buffer_beta_frames,rdc_tau,value
1,9338,0.2,0.19,1154,0.00025416397693940065,78.94275371945639
4,12188,0.2,0.45,2562,0.0005016049961929038,79.01303794384626
0,55816,0.30000000000000004,0.19,1426,0.0009737806665233998,77.84930114620606
3,63491,0.2,0.41000000000000003,28475,0.007272432039187106,79.25945849677947
2,49773,0.5,0.17,1446,0.000137310141576473,78.44653362689249
5,18628,0.7000000000000001,0.32,3057,0.00293922789755939,77.29728323614434
6,5430,0.2,0.34,1322,0.004114275413326952,78.23332285640187
7,13569,0.8,0.18000000000000002,3699,0.00012766184498498774,77.55228646189101
8,51195,0.30000000000000004,0.22000000000000003,1458,0.00039416793399272383,77.86167708008725
9,24718,0.6,0.28,3399,0.0020204841862952166,79.12828310682293
10,62443,0.4,0.36,25148,0.00786788079299623,77.79697599516852
11,26184,0.30000000000000004,0.29000000000000004,5264,0.003618674207853445,78.3131977615438
12,64254,0.6,0.55,13718,0.0018562276450728478,77.9429715814252
13,22940,0.7000000000000001,0.55,2949,0.0006656569957381539,78.35191535772633
14,77224,1.0,0.52,49071,0.009849338729853179,78.40934082673162
15,29995,0.6,0.53,54859,0.002184531965414441,78.2931450403317
16,29679,1.0,0.56,16929,0.0015585333027519654,78.39360337832754
17,32994,1.0,0.43,59445,0.009327429159676928,79.3957600813374
18,34211,0.9,0.41000000000000003,42386,0.009713546368083371,78.2247395154365
19,34960,0.1,0.41000000000000003,9737,0.0017908758252879933,77.96517980620669
20,37446,0.1,0.44,12545,0.005617126133391541,78.67841810775234
21,90327,0.1,0.42000000000000004,7893,0.006356189819686032,78.19468566989946
22,40342,0.1,0.41000000000000003,30842,0.005851232725149923,78.72901742811972
23,40021,0.1,0.46,30829,0.005353306329306466,78.70497276128395
24,86299,0.8,0.48000000000000004,30665,0.005701434788042551,78.34138449098218
25,84702,0.5,0.28,30463,0.004950709333145972,78.7353069355789
26,18589,0.5,0.29000000000000004,29254,0.005385971156827636,78.50411663394975
27,17528,0.5,0.48000000000000004,24386,0.004555285519397755,78.44555023353675
28,18170,0.5,0.26,5222,0.001207555815105831,78.40333217424924
29,17906,0.5,0.26,18983,0.0011429001432833375,78.37607140269031
30,19321,0.4,0.37,4679,0.0012072455661335298,78.7128653812926
31,15920,0.9,0.36,4697,0.0011673650141344324,77.50968453205466
32,23111,0.9,0.38,5297,0.002726531840962599,78.59245066829583
33,49569,0.9,0.37,5253,0.0008807152426968018,78.3204039998857
34,46894,0.9,0.36,59251,0.0027804804583408697,78.1279277615516
35,12713,0.2,0.38,2046,0.0008208567292939955,78.95382630276033
36,10256,0.4,0.39,2201,0.0006830468944047916,78.57258363827793
37,11038,0.2,0.45,1001,0.00044564289354705135,78.59076506243792
38,8799,0.2,0.48000000000000004,1996,0.00044449463975214685,77.79716879016955
39,10756,0.2,0.32,2170,0.00046001443717881243,77.6758386292322
40,8620,0.4,0.14,2119,0.0004899700370162396,78.64081884215925
41,6483,0.2,0.32,1059,0.00021797225134720076,77.94444472761862
42,5077,0.30000000000000004,0.32,1879,0.00018601973219602454,79.00605863269962
43,5759,0.30000000000000004,0.21000000000000002,2958,0.00020029794341895892,78.70424218309357
44,5923,0.30000000000000004,0.15000000000000002,3168,0.007773029635611479,78.51999771151841
45,7319,0.30000000000000004,0.33,1478,0.00019733381761102617,75.10078071689216
46,13404,0.30000000000000004,0.22000000000000003,2746,0.00026237499900262965,77.86730899192384
47,7001,0.30000000000000004,0.22000000000000003,3309,0.00017873637516578497,77.99766767641555
48,7366,0.30000000000000004,0.43,1595,0.00033677607052660414,78.12948807479547
49,61441,0.7000000000000001,0.33,1372,0.00010289217458731852,78.73097314002533
