Wall time,Step,Value
1753202965.2358007,6,0.09843547642230988
1753203041.045327,20,0.5300923585891724
1753203160.4036973,42,1.341118335723877
1753203197.369883,49,1.6067219972610474
1753203279.6152604,64,2.221762180328369
1753203285.181729,65,2.121553659439087
1753203329.104199,73,2.479822874069214
1753203361.731009,79,2.675312042236328
1753203388.9819865,84,2.8420071601867676
1753203427.4057388,91,3.1107571125030518
1753203504.569609,105,3.4739160537719727
1753203527.1201684,109,3.671009063720703
1753203605.5791163,123,4.130543231964111
1753203644.5890608,130,4.40291166305542
1753203655.2128327,132,4.1628546714782715
1753203805.3809576,159,5.084169864654541
1753203821.8849993,162,5.09842586517334
1753203833.3989966,164,4.90364933013916
1753203844.9366882,166,5.144878387451172
1753203889.0791552,174,5.307915210723877
1753203994.7579362,193,5.573550701141357
1753204061.836299,205,5.751250267028809
1753204072.7664244,207,5.707160472869873
1753204206.6363657,231,6.3655571937561035
1753204291.190948,246,6.615236282348633
1753204296.95178,247,6.491775989532471
1753204375.4357536,261,6.637260913848877
1753204442.4649549,273,6.705498218536377
1753204459.7046585,276,6.714204788208008
1753204505.1165524,284,6.951807975769043
1753204522.0704625,287,6.9828901290893555
1753204579.2094646,297,6.979012966156006
1753204699.6723554,318,7.064798831939697
1753204716.971824,321,7.053393840789795
1753204733.681625,324,7.441993236541748
1753204870.4330654,348,7.605828762054443
1753204939.4920886,360,7.778698921203613
1753204973.9654133,366,7.844400882720947
1753204985.3170989,368,7.499101161956787
1753205054.3401916,380,7.938518524169922
1753205100.7578855,388,7.529747009277344
1753205123.7930315,392,7.876900672912598
1753205192.3496943,404,7.908100128173828
1753205267.987581,417,7.961192607879639
1753205307.6638024,424,8.133167266845703
1753205388.5150466,438,8.070649147033691
1753205394.1976986,439,8.179838180541992
1753205405.3333616,441,8.065126419067383
1753205445.2387998,448,7.827735424041748
1753205531.7435553,463,8.138261795043945
1753205555.2545307,467,7.893223285675049
1753205612.3728235,477,8.266953468322754
1753205641.0088158,482,8.284149169921875
1753205646.7349079,483,8.181462287902832
1753205681.644278,489,8.243687629699707
1753205815.5980713,512,8.016610145568848
1753205827.1152012,514,8.34166145324707
1753205832.9680617,515,8.262068748474121
1753205856.3948395,519,8.220056533813477
1753205949.4695382,535,8.464299201965332
1753205978.8263555,540,8.235188484191895
1753205990.2369409,542,8.122651100158691
1753206061.2688305,554,7.848188400268555
1753206084.7187753,558,8.593913078308105
1753206120.365517,564,8.419599533081055
1753206285.032793,592,8.681406021118164
1753206308.9444125,596,8.577753067016602
1753206320.471982,598,8.003274917602539
1753206514.4542515,630,8.953374862670898
1753206520.296865,631,8.896242141723633
1753206568.594545,639,9.135761260986328
1753206604.4941611,645,8.831971168518066
1753206610.6758788,646,9.076537132263184
1753206692.3419044,660,9.280582427978516
1753206745.9459796,669,8.84278678894043
1753206792.6726158,677,9.0325345993042
1753206904.2609694,696,9.153334617614746
1753207064.1779566,723,9.354269027709961
1753207088.2103238,727,9.113371849060059
1753207200.7846122,746,9.340202331542969
1753207319.85516,766,9.446503639221191
1753207385.3553107,777,9.653286933898926
1753207391.2780342,778,9.169981002807617
1753207426.5333612,784,9.621627807617188
1753207462.9032009,790,9.475176811218262
1753207556.7084827,806,9.6244535446167
1753207562.8158088,807,9.524245262145996
1753207574.549176,809,9.687588691711426
1753207644.3139427,821,9.598908424377441
1753207721.6836855,834,9.947782516479492
1753207871.105387,859,9.590510368347168
1753207925.1709785,868,9.888724327087402
1753207954.9491794,873,9.99775505065918
1753208043.3496819,888,9.6331787109375
1753208108.0729747,899,9.821633338928223
1753208131.6932812,903,10.044109344482422
1753208301.4060762,932,10.063864707946777
1753208372.812024,944,10.235418319702148
1753208414.6966105,951,9.864237785339355
1753208709.6386662,1001,9.894760131835938
1753208727.2637982,1004,10.020319938659668
1753208739.1502566,1006,10.395951271057129
1753208805.783348,1017,10.305143356323242
1753208846.9201152,1024,10.285104751586914
1753208869.8722322,1028,10.049054145812988
1753208881.7809849,1030,10.12158203125
1753208934.326675,1039,10.63540267944336
1753209046.008006,1058,10.209699630737305
1753209127.9564338,1072,10.315714836120605
1753209133.8959801,1073,10.11473560333252
1753209145.6891897,1075,10.470049858093262
1753209169.358627,1079,10.491928100585938
1753209222.8635418,1088,10.25607967376709
1753209293.1626308,1100,10.401597023010254
1753209317.1099188,1104,10.301582336425781
1753209328.9083478,1106,10.090604782104492
1753209357.5175626,1111,10.21700668334961
1753209369.410815,1113,10.06380844116211
1753209428.1868029,1123,10.292445182800293
1753209451.2976036,1127,10.289042472839355
1753209493.5622382,1134,10.172904014587402
1753209505.4194021,1136,10.443495750427246
1753209577.086368,1148,10.306506156921387
1753209606.3220391,1153,10.539053916931152
1753209612.0508335,1154,10.405806541442871
1753209683.300684,1166,10.247122764587402
1753209741.6998732,1176,9.962947845458984
1753209753.1757815,1178,10.373250007629395
1753209800.5626483,1186,10.257631301879883
1753209853.1929004,1195,10.51137638092041
1753209859.3330355,1196,10.252054214477539
1753210001.9397876,1220,10.608305931091309
1753210042.7774167,1227,9.988800048828125
1753210167.342386,1248,10.509134292602539
1753210197.2501886,1253,10.207205772399902
1753210202.8631117,1254,10.331257820129395
1753210215.0423625,1256,10.315875053405762
1753210233.081832,1259,10.21958065032959
1753210256.9378927,1263,10.007253646850586
1753210292.3322177,1269,10.502964973449707
1753210316.2290738,1273,10.465581893920898
1753210345.538114,1278,10.452242851257324
1753210477.6354969,1300,10.112606048583984
1753210525.4973588,1308,10.324202537536621
1753210621.0640461,1324,9.925200462341309
1753210639.0499573,1327,10.553136825561523
1753210757.387226,1347,9.903604507446289
1753210848.2802086,1362,9.79747486114502
1753210871.6958005,1366,10.149441719055176
1753210937.224143,1377,10.342050552368164
1753210943.3240461,1378,10.39005184173584
1753211189.5001168,1419,10.029322624206543
1753211314.6473334,1440,10.117082595825195
1753211320.6462247,1441,10.516499519348145
1753211428.1787984,1459,9.978716850280762
1753211433.7466545,1460,10.151098251342773
1753211528.8167632,1476,10.07469367980957
1753211540.7576873,1478,9.996143341064453
1753211624.792311,1492,9.80117130279541
1753211649.237434,1496,9.715230941772461
1753211696.3464713,1504,10.102438926696777
1753211743.5136552,1512,9.974377632141113
1753211760.896208,1515,9.913002967834473
1753211778.6172764,1518,9.824960708618164
1753211849.9178813,1530,9.73320198059082
1753211969.469021,1550,9.631416320800781
1753211987.1910436,1553,9.787755012512207
1753212070.4394681,1567,9.690024375915527
1753212088.513107,1570,9.693841934204102
1753212118.3773139,1575,9.673014640808105
1753212137.9164054,1578,9.670743942260742
1753212192.210908,1587,9.65012264251709
1753212261.864663,1598,9.523099899291992
1753212292.1686182,1603,9.73937702178955
1753212304.201561,1605,9.799418449401855
1753212447.9586942,1629,9.581716537475586
1753212495.6249294,1637,9.628560066223145
1753212507.5694847,1639,9.557709693908691
1753212705.4825563,1672,9.327005386352539
1753212758.8271878,1681,9.270153045654297
1753212793.9047623,1687,9.536380767822266
1753212846.4139972,1696,9.589078903198242
1753212894.5517235,1704,9.32807731628418
1753212906.7265644,1706,9.284929275512695
1753212925.0096009,1709,9.35813045501709
1753212948.76958,1713,9.621915817260742
1753212990.6940775,1720,9.699718475341797
1753213151.9121673,1747,9.468965530395508
1753213328.907749,1777,9.351517677307129
1753213341.1973667,1779,9.133827209472656
1753213412.9290032,1791,9.183372497558594
1753213430.3986688,1794,9.15040397644043
1753213478.4093053,1802,9.472199440002441
1753213758.0699787,1849,9.490669250488281
1753213782.3209274,1853,9.311422348022461
1753213834.3258588,1862,9.244906425476074
1753213864.073406,1867,9.089142799377441
1753213876.3367562,1869,9.317756652832031
1753214001.1478345,1890,9.237396240234375
1753214065.4208772,1901,9.150640487670898
1753214083.4409263,1904,9.019487380981445
1753214118.947866,1910,9.102279663085938
1753214124.9181836,1911,9.512757301330566
1753214214.5670207,1926,9.351139068603516
1753214285.8262722,1938,8.862432479858398
1753214309.3577805,1942,8.948386192321777
1753214339.8461354,1947,9.101757049560547
1753214351.74356,1949,9.345009803771973
1753214428.8850107,1962,9.095620155334473
1753214434.8240817,1963,9.309785842895508
1753214464.7414227,1968,9.085689544677734
1753214530.4791856,1979,9.323686599731445
1753214542.3811903,1981,9.004913330078125
1753214588.7080839,1989,9.12292194366455
1753215082.6944492,2072,9.071125984191895
1753215135.1025076,2081,9.023649215698242
1753215193.6196184,2091,8.879751205444336
1753215259.385365,2102,9.051501274108887
1753215342.211193,2116,8.96943187713623
1753215348.375169,2117,8.950328826904297
1753215372.6048083,2121,8.871015548706055
1753215378.5833976,2122,8.77730655670166
1753215420.3444333,2129,8.744470596313477
1753215491.4100103,2141,9.135833740234375
1753215669.6845684,2171,8.9882173538208
1753215818.5293725,2196,8.766724586486816
1753215908.2022717,2211,8.848732948303223
1753215943.7056613,2217,9.032427787780762
1753216085.890341,2241,8.773727416992188
1753216115.4603977,2246,8.886848449707031
1753216337.841183,2283,8.820660591125488
1753216550.0200758,2318,9.046113014221191
1753216568.126518,2321,8.997435569763184
1753216703.525981,2344,9.082467079162598
1753216806.0237372,2361,8.993731498718262
1753216985.3391862,2391,8.723958969116211
1753217009.4946656,2395,8.869868278503418
1753217015.5345435,2396,8.769214630126953
1753217266.211553,2438,8.885952949523926
1753217296.1891787,2443,8.658824920654297
1753217373.5141215,2456,8.969840049743652
1753217420.4595983,2464,8.804698944091797
1753217438.5363035,2467,8.816695213317871
1753217557.9612217,2487,8.686110496520996
1753217605.5185823,2495,8.649849891662598
1753217635.4423447,2500,9.014222145080566
1753217664.7470548,2505,8.695890426635742
1753217747.8868694,2519,8.686073303222656
1753217759.4610434,2521,8.721619606018066
1753217813.1108344,2530,8.63902473449707
1753217825.4016376,2532,8.541296005249023
1753218040.6722903,2568,8.488608360290527
1753218105.2949126,2579,8.352907180786133
1753218111.4024053,2580,8.903278350830078
1753218170.4502525,2590,8.68011474609375
1753218236.4821815,2601,8.628880500793457
1753218276.453557,2608,8.852374076843262
1753218353.671749,2621,8.809677124023438
1753218401.1928437,2629,8.391840934753418
1753218406.8114896,2630,8.770343780517578
1753218448.1160412,2637,8.417996406555176
1753218472.1051512,2641,8.537710189819336
1753218495.8949432,2645,8.6643648147583
1753218609.9276626,2664,8.56350326538086
1753218656.2473814,2672,8.294371604919434
1753218662.264288,2673,8.178746223449707
1753218679.8979893,2676,8.500575065612793
1753218721.2385828,2683,8.419388771057129
1753218738.1466465,2686,8.199713706970215
1753218750.0394266,2688,8.633797645568848
1753218767.2373972,2691,8.417706489562988
1753218791.4176502,2695,8.426718711853027
1753218845.5927498,2704,8.398858070373535
1753218881.4096766,2710,8.306357383728027
1753218910.9538877,2715,8.2830228805542
1753218934.787116,2719,8.423689842224121
1753219006.804984,2731,8.181163787841797
1753219012.6277008,2732,8.528183937072754
1753219036.198502,2736,8.26285457611084
1753219066.0406737,2741,8.355766296386719
1753219071.9125326,2742,8.325329780578613
1753219147.3521473,2755,8.120572090148926
1753219153.0781693,2756,7.8653244972229
1753219159.03981,2757,8.447731018066406
1753219188.2323916,2762,8.399466514587402
1753219217.2876918,2767,8.415027618408203
1753219234.8873823,2770,8.086421966552734
1753219291.85589,2780,8.200213432312012
1753219332.7957225,2787,8.475007057189941
1753219492.630395,2814,8.330206871032715
1753219623.7621264,2836,8.431838989257812
1753219684.0578017,2846,8.478673934936523
1753219783.7969177,2863,8.051018714904785
1753219789.7534661,2864,8.09823989868164
1753219902.7277236,2883,8.2692289352417
1753220121.5812445,2920,8.24026107788086
1753220139.5956044,2923,7.831853866577148
1753220215.0367377,2936,7.793745040893555
1753220321.542198,2954,7.787494659423828
