Wall time,Step,Value
1752405471.3363888,4,43.364810943603516
1752405516.3084264,18,71.19338989257812
1752405587.4361475,40,67.62815856933594
1752405609.6545835,47,69.06049346923828
1752405655.444965,62,72.1805419921875
1752405658.8179018,63,62.39998245239258
1752405684.8049512,71,67.51934814453125
1752405704.5808737,77,69.18031311035156
1752405720.917455,82,67.75357818603516
1752405743.0999637,89,76.98900604248047
1752405789.0368898,103,51.70402145385742
1752405801.645923,107,69.74510955810547
1752405847.34453,121,74.65745544433594
1752405869.1851377,128,72.66372680664062
1752405875.8582482,130,72.2694320678711
1752405961.024335,157,72.87093353271484
1752405971.0543795,160,66.29735565185547
1752405976.9517329,162,46.518192291259766
1752405983.1999443,164,77.33854675292969
1752406008.8732283,172,76.05028533935547
1752406071.1977415,191,68.1277847290039
1752406109.9983199,203,74.15957641601562
1752406115.8258884,205,56.27646255493164
1752406192.3620753,229,58.02284622192383
1752406241.398035,244,68.16241455078125
1752406244.322696,245,83.83967590332031
1752406290.5043252,259,75.69390106201172
1752406330.4620802,271,74.99515533447266
1752406340.1460946,274,80.5708999633789
1752406366.1667638,282,78.28495025634766
1752406375.8318517,285,73.61383819580078
1752406404.9554386,295,73.07858276367188
1752406473.6746697,316,77.34175109863281
1752406484.1533668,319,81.5781021118164
1752406493.7125716,322,81.82536315917969
1752406568.7831273,346,81.4267349243164
1752406608.309408,358,77.6675796508789
1752406628.1856477,364,75.89226531982422
1752406634.5624628,366,83.83551025390625
1752406673.200557,378,77.69572448730469
1752406699.3287625,386,73.3034439086914
1752406712.6330316,390,82.7980728149414
1752406752.3921978,402,73.8045654296875
1752406792.5446446,415,76.22100830078125
1752406816.5498352,422,78.99327087402344
1752406861.5542593,436,57.085609436035156
1752406864.7250156,437,76.5388412475586
1752406871.3968875,439,81.27828979492188
1752406892.7601202,446,77.76371765136719
1752406938.0872924,461,86.6172866821289
1752406951.7812088,465,77.95883178710938
1752406983.7005413,475,81.50572204589844
1752406999.7037632,480,86.91607666015625
1752407002.670334,481,80.06718444824219
1752407022.0578406,487,79.78280639648438
1752407096.6368906,510,80.94115447998047
1752407102.9226615,512,79.03827667236328
1752407105.7766922,513,85.19319152832031
1752407119.0054758,517,78.81832885742188
1752407170.1431718,533,76.06539154052734
1752407185.0384986,538,81.89221954345703
1752407191.4209483,540,77.11871337890625
1752407232.0036697,552,76.72238159179688
1752407245.8125503,556,80.12469482421875
1752407265.1074035,562,73.54188537597656
1752407355.9312005,590,84.72579956054688
1752407368.8650048,594,77.77937316894531
1752407375.5339265,596,79.02299499511719
1752407478.4529057,628,71.56904602050781
1752407481.5433383,629,75.78801727294922
1752407507.763307,637,71.30045318603516
1752407526.7589557,643,76.48594665527344
1752407529.8436818,644,71.9342041015625
1752407572.9539576,658,70.740966796875
1752407602.8210793,667,75.03276062011719
1752407629.337885,675,76.94839477539062
1752407691.9285474,694,76.95315551757812
1752407781.6918828,721,75.06204223632812
1752407794.2791517,725,79.80992889404297
1752407855.2677612,744,72.94766235351562
1752407920.6880925,764,70.42182159423828
1752407955.134494,775,80.7894287109375
1752407958.2038002,776,82.98854064941406
1752407977.6276767,782,79.64649200439453
1752407996.445692,788,82.38514709472656
1752408048.005069,804,80.58074188232422
1752408051.2236686,805,81.97399139404297
1752408057.0311918,807,81.4277114868164
1752408092.7160378,819,79.4591293334961
1752408135.413517,832,79.01251220703125
1752408215.2905777,857,79.2381362915039
1752408244.8292265,866,80.06652069091797
1752408261.6028512,871,77.26268768310547
1752408310.67233,886,74.70403289794922
1752408345.0269306,897,75.03164672851562
1752408358.256481,901,73.60491180419922
1752408453.0309565,930,76.85265350341797
1752408491.48141,942,72.64743041992188
1752408514.190659,949,76.98441314697266
1752408675.9939005,999,71.34767150878906
1752408685.2402942,1002,75.61392211914062
1752408691.3278713,1004,75.94844818115234
1752408725.738012,1015,76.93156433105469
1752408747.7619207,1022,71.80502319335938
1752408761.0455787,1026,70.7172622680664
1752408767.504969,1028,78.27531433105469
1752408796.1759183,1037,72.04198455810547
1752408857.1456943,1056,79.06037902832031
1752408903.5084226,1070,74.76931762695312
1752408907.0887985,1071,78.29474639892578
1752408913.2700915,1073,74.74152374267578
1752408926.0237327,1077,85.81634521484375
1752408955.4839935,1086,81.55736541748047
1752408993.5599947,1098,82.98885345458984
1752409006.2434852,1102,81.9083251953125
