Wall time,Step,Value
1752604136.3245494,8192,114.79689025878906
1752604268.6444967,16384,119.65235137939453
1752604400.4309447,24576,121.60029602050781
1752604532.865595,32768,125.26456451416016
1752604670.5008988,40960,123.85516357421875
1752604801.5127635,49152,123.09591674804688
1752604933.830515,57344,123.4608383178711
1752605066.4690802,65536,123.48114013671875
1752605203.018586,73728,124.2495346069336
1752605333.8056624,81920,125.91187286376953
1752605463.7388515,90112,128.314453125
1752605596.0238366,98304,127.57307434082031
1752605734.6647096,106496,127.88577270507812
1752605865.869062,114688,127.7398910522461
1752605997.6714497,122880,129.34152221679688
1752606129.2072148,131072,129.01466369628906
1752606266.8045201,139264,128.50584411621094
1752606394.6457515,147456,126.94859313964844
1752606527.0829923,155648,127.3318862915039
1752606658.8846173,163840,124.6651611328125
1752606797.526878,172032,125.43888854980469
1752606930.0450747,180224,126.7237777709961
1752607061.762636,188416,129.66038513183594
1752607194.2626703,196608,129.42861938476562
1752607332.1436355,204800,128.30870056152344
1752607463.7141254,212992,128.1181182861328
1752607595.610859,221184,128.18453979492188
1752607727.8976755,229376,128.65797424316406
1752607859.8646944,237568,128.54232788085938
1752607998.5345774,245760,129.98760986328125
1752608129.1063807,253952,127.53597259521484
1752608260.3399124,262144,128.1604766845703
1752608393.3698516,270336,128.66102600097656
1752608531.9752414,278528,130.75917053222656
1752608664.4618633,286720,131.0115203857422
1752608796.722647,294912,131.14674377441406
1752608929.7454104,303104,132.1773681640625
1752609068.799101,311296,133.9749755859375
1752609200.8994718,319488,134.81292724609375
1752609333.3864007,327680,133.96826171875
1752609465.8176537,335872,132.2317352294922
1752609602.69384,344064,131.5349884033203
1752609733.9986956,352256,130.7930908203125
1752609867.0353675,360448,131.9200439453125
1752609999.3839927,368640,130.12596130371094
1752610134.7254822,376832,131.2972412109375
1752610267.1669486,385024,131.3671112060547
1752610398.0532634,393216,135.3311004638672
1752610528.81536,401408,135.18508911132812
1752610666.968083,409600,136.1063995361328
1752610799.4948373,417792,135.36026000976562
1752610928.586967,425984,134.7559356689453
1752611057.993085,434176,135.4763946533203
1752611189.779789,442368,135.33026123046875
1752611327.5161886,450560,135.62063598632812
1752611459.6971672,458752,135.9295196533203
1752611591.137492,466944,135.9269256591797
1752611722.8176706,475136,135.46681213378906
1752611859.102608,483328,134.98634338378906
1752611990.2725182,491520,135.35409545898438
1752612121.9239547,499712,133.53794860839844
1752612252.9829433,507904,133.10211181640625
1752612390.9380858,516096,134.3498077392578
1752612522.841902,524288,136.1280975341797
1752612654.757849,532480,136.77700805664062
1752612785.6418533,540672,137.55128479003906
1752612923.5430083,548864,135.8388671875
1752613055.483878,557056,136.3414764404297
1752613187.7710297,565248,133.75608825683594
1752613320.185924,573440,136.374755859375
1752613458.9305682,581632,134.49822998046875
1752613589.6965594,589824,136.06146240234375
1752613722.223625,598016,135.9564208984375
1752613854.4988058,606208,138.44540405273438
1752613993.0190163,614400,139.01353454589844
1752614124.203483,622592,139.6517791748047
1752614257.733026,630784,139.6027374267578
1752614389.4184213,638976,138.51141357421875
1752614522.8923502,647168,137.79933166503906
1752614661.9525363,655360,138.18357849121094
1752614792.779614,663552,140.3317413330078
1752614924.8506384,671744,142.079345703125
1752615055.2179117,679936,140.7180938720703
1752615193.1598215,688128,141.59231567382812
1752615324.7749202,696320,142.9412841796875
1752615457.1445236,704512,142.99386596679688
1752615590.2564719,712704,143.93692016601562
1752615727.9947627,720896,141.4612274169922
1752615858.8820302,729088,140.47557067871094
1752615991.5664911,737280,140.63323974609375
1752616123.2816842,745472,142.68508911132812
1752616258.837472,753664,142.11605834960938
1752616390.2524385,761856,140.63192749023438
1752616521.7372622,770048,139.32554626464844
1752616652.5291197,778240,140.29006958007812
1752616789.9821525,786432,140.68385314941406
1752616922.9513276,794624,140.52377319335938
1752617054.011278,802816,141.12496948242188
1752617185.480859,811008,143.57568359375
1752617324.7675364,819200,143.68922424316406
1752617456.896885,827392,143.57887268066406
1752617587.9936693,835584,142.86318969726562
1752617720.0177755,843776,144.0124053955078
1752617851.6940596,851968,143.31442260742188
1752617989.1600692,860160,142.05775451660156
1752618120.7139142,868352,140.1989288330078
1752618254.480757,876544,142.1471405029297
1752618386.0760298,884736,142.3965301513672
1752618524.607466,892928,140.3872833251953
1752618657.243802,901120,139.48512268066406
1752618788.5187573,909312,139.43212890625
1752618921.543251,917504,141.6696319580078
1752619059.0898132,925696,143.14321899414062
1752619192.912461,933888,142.77989196777344
1752619323.679142,942080,142.83656311035156
1752619455.37928,950272,141.9805145263672
1752619594.6707568,958464,142.1577606201172
1752619726.705769,966656,143.27716064453125
1752619858.2742429,974848,143.83523559570312
1752619989.8042512,983040,145.09768676757812
1752620127.3831933,991232,145.04579162597656
1752620259.7463865,999424,144.48904418945312
1752620392.0121112,1007616,144.1448974609375
