configuration,configuration,manual_rebalancing,incentive_rebalancing,fleet_size,mean_satisfied_ratio_mean,mean_satisfied_ratio_std,mean_rebalanced_vehicles_manually_mean,mean_rebalanced_vehicles_manually_std,mean_rebalanced_vehicles_incentives_mean,mean_rebalanced_vehicles_incentives_std,max_satisfied_ratio_mean,max_satisfied_ratio_std,min_satisfied_ratio_mean,min_satisfied_ratio_std,mean_gini_index_mean,mean_gini_index_std
HRL_Both_Enabled_1200,HRL_Both_Enabled_1200,True,True,1200,0.6501,0.0159,4.8246,0.667,55.7436,0.3867,1.0,0.0,0.266,0.0222,0.5806,0.0124
HRL_Both_Enabled_600,HRL_Both_Enabled_600,True,True,600,0.4702,0.0249,5.2044,0.37,53.8865,0.2988,0.9761,0.0306,0.1651,0.0116,0.6694,0.0286
HRL_Both_Enabled_900,HRL_Both_Enabled_900,True,True,900,0.5985,0.0191,3.919,0.6749,55.4494,0.4248,1.0,0.0,0.2189,0.0311,0.6052,0.0213
HRL_Incentive_Only_1200,HRL_Incentive_Only_1200,False,True,1200,0.5696,0.0076,0.0,0.0,56.2081,0.4121,0.9671,0.0369,0.2176,0.0132,0.6647,0.012
HRL_Incentive_Only_600,HRL_Incentive_Only_600,False,True,600,0.4957,0.0076,0.0,0.0,54.5646,0.4035,0.8934,0.0575,0.1344,0.0051,0.6946,0.0103
HRL_Incentive_Only_900,HRL_Incentive_Only_900,False,True,900,0.5401,0.008,0.0,0.0,55.7964,0.3503,0.9375,0.0577,0.1673,0.0077,0.6835,0.0081
HRL_Manual_Only_1200,HRL_Manual_Only_1200,True,False,1200,0.892,0.0034,7.1528,0.2068,0.0,0.0,1.0,0.0,0.3929,0.0061,0.2804,0.0071
HRL_Manual_Only_600,HRL_Manual_Only_600,True,False,600,0.7176,0.0371,6.6575,1.2007,0.0,0.0,1.0,0.0,0.2187,0.0081,0.3644,0.0251
HRL_Manual_Only_900,HRL_Manual_Only_900,True,False,900,0.8385,0.0029,7.4852,0.2021,0.0,0.0,1.0,0.0,0.3112,0.0076,0.2971,0.0044
