trial,seed,configuration,manual_rebalancing,incentive_rebalancing,fleet_size,mean_satisfied_ratio,mean_rebalanced_vehicles_manually,mean_rebalanced_vehicles_incentives,max_satisfied_ratio,min_satisfied_ratio,mean_gini_index
0,15795,HRL_Both_Enabled_900,True,True,900,0.6049153693859113,4.01,19.5675,1.0,0.22666666666666666,0.49705553646429934
0,15795,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
0,15795,HRL_Incentive_Only_900,False,True,900,0.530936890737625,0.0,19.22,0.9166666666666666,0.1580952380952381,0.5454362542955327
0,15795,HRL_Both_Enabled_600,True,True,600,0.4946417007331723,4.9275,19.72,1.0,0.14285714285714285,0.5680860824742269
0,15795,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
0,15795,HRL_Incentive_Only_600,False,True,600,0.4780777533475037,0.0,19.22,0.8461538461538461,0.11936507936507937,0.5560530641466209
0,15795,HRL_Both_Enabled_1200,True,True,1200,0.6740921989079276,5.115,19.9475,1.0,0.2780952380952381,0.4907713917525774
0,15795,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
0,15795,HRL_Incentive_Only_1200,False,True,1200,0.557694969502651,0.0,19.6625,0.9090909090909091,0.18285714285714286,0.5420410223367699
1,860,HRL_Both_Enabled_900,True,True,900,0.6719845748320061,5.8225,19.975,1.0,0.26285714285714284,0.445435910652921
1,860,HRL_Manual_Only_900,True,False,900,0.8437862942021519,6.865,0.0,1.0,0.31873015873015875,0.24101588392516227
1,860,HRL_Incentive_Only_900,False,True,900,0.5260330373476835,0.0,19.5525,0.8888888888888888,0.15174603174603174,0.5476689767086674
1,860,HRL_Both_Enabled_600,True,True,600,0.44491926260934284,4.4875,19.895,1.0,0.17396825396825397,0.6367792096219932
1,860,HRL_Manual_Only_600,True,False,600,0.7476512257919129,6.765,0.0,1.0,0.21841269841269842,0.2813632588774342
1,860,HRL_Incentive_Only_600,False,True,600,0.4778420634343957,0.0,19.17,0.8518518518518519,0.11936507936507937,0.5614316151202751
1,860,HRL_Both_Enabled_1200,True,True,1200,0.6954152153075763,5.9325,19.6125,1.0,0.2857142857142857,0.4756636168384881
1,860,HRL_Manual_Only_1200,True,False,1200,0.9030481494931071,7.82,0.0,1.0,0.3942857142857143,0.2037821162657503
